observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05020-2itknt,2819543,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"87,5",,,,131,,"12,04",,"72,8",,"103,4",,6,,"58,8",,1,,6,,"6,5",
DI04024itkt,2819571,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"82,5",,1,,131,,"12,1",,"69,1",,"86,4",,1,,"66,5",,1,,3,,"4,5",
Apacheitkt,2819523,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,85,,1,,127,,"12,81",,"73,2",,"98,1",,2,,"75,6",,1,,4,,"1,5",
CF03287itkt,2819556,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,131,,"13,52",,"73,2",,"101,3",,"1,5",,78,,1,,"3,5",,"6,5",
DI05020-2itkt,2819544,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,90,,1,,131,,"12,2",,"68,8",,"93,4",,1,,"71,9",,1,,4,,"7,5",
DI05020-2itkfi,2819542,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,95,,,,131,,"12,56",,68,,"93,3",,5,,"55,2",,1,,,,7,
Soissonsitkt,2819580,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,124,,"11,33",,"72,4",,"95,9",,4,,"73,9",,1,,1,,"5,5",
CF03287itknt,2819555,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,130,,"12,08",,"74,4",,"112,5",,"5,5",,"63,9",,4,,"5,5",,6,
CF03287itkfi,2819554,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"92,5",,,,131,,"12,42",,"71,6",,"106,8",,3,,"63,2",,"3,5",,,,"6,5",
DI04024itknt,2819570,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,131,,"11,27",,"70,9",,"109,4",,"5,5",,"62,2",,1,,6,,"2,5",
Sankaraitkt,2819532,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,90,,1,,"134,5",,"13,7",,"68,2",,"87,3",,2,,"67,2",,1,,4,,6,
DI05022itknt,2819573,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,90,,,,131,,"12,83",,"69,2",,"93,9",,7,,"53,4",,1,,6,,7,
DI05022itkfi,2819572,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"92,5",,,,131,,"12,3",,"67,6",,93,,4,,55,,1,,,,7,
DI05022itkt,2819574,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,90,,1,,131,,"12,35",,"69,3",,"93,4",,2,,"71,9",,1,,4,,"7,5",
AO05001itkfi,2819500,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,123,,"12,78",,"64,6",,"83,7",,9,,"49,5",,1,,,,"4,5",
Soissonsitkfi,2819578,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,90,,,,124,,11,,"70,4",,95,,9,,"56,2",,1,,,,4,
