observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11228itkt,2869968,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,61645,https://doi.org/10.15454/IO4TVO,CF11228,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,153,,"11,95",,"83,5",,,,"70,9",,2,,2,,9,
Bermudeitkt,2869930,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,153,,"12,16",,"88,5",,,,"75,1",,2,,"1,5",,8,
F43itkt,2869918,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,48503,gnpis_pui:holding-921_taxon-4898_accession-48503,F43,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,150,,"12,08",,"94,7",,,,"80,4",,1,,2,,7,
CF11228itkfi,2869967,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,61645,https://doi.org/10.15454/IO4TVO,CF11228,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,85,,155,,"11,87",,"83,3",,"5,5",,"57,8",,3,,3,,1,
RE11098itkt,2869928,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,102,,152,,"12,68",,"98,8",,,,"83,9",,1,,2,,"7,5",
CF11291itkfi,2869991,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,80,,146,,"10,96",,"96,1",,5,,"66,7",,"2,5",,3,,3,
EM11602itkfi,2869959,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,60719,https://doi.org/10.15454/13FZZX,EM11602,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,150,,"10,68",,"101,8",,4,,"70,7",,1,,"2,5",,4,
CF11227itkfi,2869977,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,80,,154,,"11,23",,"74,5",,"4,5",,"51,7",,1,,3,,1,
RE11098itkfi,2869927,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,100,,150,,"11,28",,"111,2",,4,,"77,2",,1,,2,,2,
CF11227itkt,2869978,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,153,,"13,15",,"75,6",,,,"64,2",,2,,2,,8,
EM11604itkt,2869956,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,148,,"12,07",,"105,4",,,,"89,5",,1,,2,,9,
EM11604itkfi,2869955,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,78,,148,,"12,07",,109,,"3,5",,"75,7",,1,,2,,1,
Premioitkfi,2869923,BTH_Estrées-Mons_2012_SetB3,BTH_Estrées-Mons_2012_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,80,,150,,"11,01",,"114,9",,3,,"79,8",,1,,"2,5",,1,
