observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkt,2835208,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"48,75",,NA,,94,,NA,,"242,75",,NA,,NA,,NA,,54,,293,,"12,5",,"78,8",,NA,,1450,,"2,93",,NA,
HadmF276itkt,2835168,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,"15,7",,50,,94,,NA,,72,,NA,,88,,NA,,254,,NA,,95,,"1,9",,182,,67,,407,,"12,2",,NA,,1643,,NA,,"2,01",,36,
RE07004itkt,2835196,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,26,,NA,,"68,5",,NA,,"194,5",,NA,,NA,,NA,,74,,393,,14,,"78,2",,NA,,1100,,"2,76",,NA,
Barokitkt,2835166,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,6",,95,,94,,NA,,65,,NA,,64,,NA,,223,,NA,,67,,"0,71",,184,,81,,356,,"12,3",,"79,2",,1640,,NA,,"2,29",,36,
RE07083itkt,2835216,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"30,5",,NA,,87,,NA,,"217,5",,NA,,NA,,NA,,28,,329,,12,,"79,4",,NA,,1300,,"2,38",,NA,
RE07025itkt,2835197,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"30,5",,NA,,"95,5",,NA,,226,,NA,,NA,,NA,,73,,350,,13,,"79,8",,NA,,1300,,"1,53",,NA,
CF07097itkt,2835183,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,64,,NA,,94,,NA,,258,,NA,,NA,,NA,,28,,313,,"12,5",,"78,3",,NA,,1400,,"2,53",,NA,
CF05173itkt,2835201,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,"19,5",,77,,97,,NA,,69,,NA,,77,,NA,,243,,NA,,88,,"1,14",,229,,25,,373,,"12,9",,NA,,1550,,NA,,"2,89",,31,
CF05079itkt,2835194,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,"13,7",,38,,94,,NA,,77,,NA,,75,,NA,,246,,NA,,156,,"4,11",,257,,77,,396,,"13,2",,NA,,1835,,NA,,"2,36",,52,
CF07008itkt,2835220,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"50,25",,NA,,"88,5",,NA,,"238,75",,NA,,NA,,NA,,44,,358,,13,,"79,8",,NA,,1500,,"3,01",,NA,
AO08112itkt,2835181,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"43,5",,NA,,"75,38",,NA,,"218,88",,NA,,NA,,NA,,71,,295,,"11,5",,"79,3",,NA,,1200,,"2,3",,NA,
CF06136itkt,2835219,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,5",,62,,94,,NA,,40,,NA,,54,,NA,,188,,NA,,93,,"1,5",,179,,"61,5",,334,,"12,5",,NA,,1508,,NA,,"3,81",,30,
