observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05020-2,2813978,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,2006,"7,5",,6,,5,,8,,4,
DI05022,2813988,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2006,5,,6,,5,,7,,2,
DI05004,2813959,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,2006,5,,3,,5,,4,,6,
DI05003-2,2813972,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,4,,2,,5,,2,
DI05001-2,2813970,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,4,,2,,3,,1,
DI05021,2813986,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,2006,"7,5",,6,,5,,6,,2,
DI05020,2813987,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,2006,6,,6,,5,,6,,2,
EM03332,2813973,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2006,4,,6,,5,,4,,1,
DI05014,2813966,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2006,3,,6,,5,,3,,6,
CF04043,2813968,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2006,6,,4,,5,,4,,4,
