observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkt,2855065,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,"35,3",,129,,"10,93",,"78,7",,92,,"53,7",
Fr759/08itkt,2855107,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"38,5",,132,,"10,48",,"79,5",,"97,5",,"56,9",
DI08019-2itkfi,2855064,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"35,2",,129,,"9,33",,"79,2",,"96,3",,"55,6",
JDBE42itkt,2855083,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,"39,2",,124,,"10,3",,"82,6",,"97,2",,"56,8",
AO10026itkfi,2855090,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,"43,5",,130,,"8,84",,78,,98,,"56,5",
Strub061859-1itkt,2855111,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,38,,131,,"10,55",,"79,2",,"90,1",,"52,6",
HadmF11383itkt,2855073,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,"36,7",,128,,"11,28",,77,,"88,8",,"51,9",
Fr759/08itkfi,2855106,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"40,7",,132,,"8,36",,"79,6",,"99,6",,"57,5",
DI09018itkfi,2855128,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,"41,8",,130,,"8,41",,"81,1",,"101,9",,"58,8",
HadmF11383itkfi,2855072,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,"37,2",,128,,"9,38",,"78,8",,"101,3",,"58,4",
Hadm01221-04itkt,2855127,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,"36,4",,130,,"10,07",,"76,4",,"97,2",,"56,8",
CF08027itkt,2855137,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,"34,6",,131,,"10,42",,"80,1",,"100,5",,"58,7",
CF08027itkfi,2855136,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,"36,6",,131,,"8,85",,"80,2",,103,,"59,4",
Hadm01221-04itkfi,2855126,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,"34,3",,130,,"8,64",,"76,4",,"97,1",,56,
Granamaxitkfi,2855094,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,38,,129,,"9,09",,78,,"90,1",,52,
AO10015itkt,2855059,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,95,,"39,8",,126,,"10,37",,"80,6",,"105,9",,"61,9",
AO10026itkt,2855091,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,"42,8",,128,,"10,99",,"76,6",,"96,5",,"56,3",
CF07143itkt,2855119,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,"41,3",,129,,"11,16",,"78,1",,"96,1",,"56,1",
Granamaxitkt,2855095,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"39,3",,127,,"10,6",,"78,4",,"90,5",,"52,9",
CF07143itkfi,2855118,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,43,,130,,"9,62",,"79,5",,"102,7",,"59,2",
HadmF276itkfi,2855120,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,"39,5",,126,,"8,64",,"78,1",,106,,"61,1",
HadmF276itkt,2855121,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,39,,125,,"11,12",,"77,2",,104,,"60,7",
EM08223itkt,2855081,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,"33,6",,126,,"10,74",,"73,9",,"92,7",,"54,1",
Soissonsitkfi,2855130,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,"37,8",,122,,"9,92",,"83,8",,"94,8",,"54,6",
JDBF80itkt,2855125,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,41,,123,,"10,72",,82,,"93,3",,"54,5",
JDBF80itkfi,2855124,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,"41,2",,124,,"9,48",,"81,4",,"92,1",,"53,1",
Koreliitkt,2855089,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"36,8",,130,,"11,13",,"82,1",,"93,4",,"54,6",
Koreliitkfi,2855088,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,"38,2",,130,,"9,3",,"81,6",,"94,4",,"54,4",
DI09006itkfi,2855096,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,70,,"35,9",,132,,"9,66",,"77,2",,"88,5",,"51,1",
DI09006itkt,2855097,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2011,69,,"34,2",,132,,"10,96",,"77,8",,"87,4",,51,
AO10028itkt,2855105,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,"38,8",,126,,"11,02",,"78,7",,"91,9",,"53,7",
Soissonsitkt,2855131,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,"37,6",,121,,"10,96",,"83,8",,"97,3",,"56,8",
AO10028itkfi,2855104,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,"40,9",,127,,"9,43",,80,,"95,9",,"55,3",
EM08223itkfi,2855080,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,68,,"34,1",,126,,"9,75",,73,,"91,2",,"52,6",
AO10013itkt,2855079,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,38,,128,,"10,66",,"75,6",,98,,"57,2",
