observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13026itkfi,2885025,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,89,,139,,"11,2",,"101,6",,70,,2,,6,,"2,5",
AO13026itkt,2885026,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,139,,"10,4",,"101,7",,"99,9",,,,,,3,
RE13059itkt,2885036,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61588,https://doi.org/10.15454/RQPBLE,RE13059,VIRTUAL_TRIAL,,,,,,,,treated,2014,102,,132,,"10,6",,"89,3",,"87,8",,,,,,8,
CF13043itkt,2885050,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61021,https://doi.org/10.15454/PXQDDZ,CF13043,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,133,,"10,8",,"100,5",,"98,7",,,,,,5,
RE13005itkfi,2885081,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,134,,"10,1",,"111,2",,"76,6",,1,,5,,1,
Rubiskoitkt,2885074,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,134,,"10,2",,"101,8",,100,,,,,,2,
RE13059itkfi,2885035,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61588,https://doi.org/10.15454/RQPBLE,RE13059,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,103,,132,,"10,7",,"111,6",,"76,9",,1,,"5,2",,2,
CF13080itkfi,2885057,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,132,,"11,2",,94,,"64,8",,2,,7,,2,
AO13029itkfi,2885021,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,134,,"10,8",,"111,3",,"76,7",,1,,"7,5",,1,
AO13029itkt,2885022,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2014,89,,135,,"10,6",,"105,2",,"103,3",,,,,,1,
AO13016itkfi,2885059,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,96,,141,,"9,5",,"106,6",,"73,4",,"2,2",,"5,5",,3,
CF13131itkfi,2885015,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,130,,"9,8",,"105,9",,73,,1,,7,,"2,5",
CF13131itkt,2885016,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,129,,"10,3",,"95,6",,"93,9",,,,,,"6,5",
AO14001itkfi,2885045,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"11,4",,"71,9",,"49,5",,6,,"6,2",,1,
AO14001itkt,2885046,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,139,,"9,7",,"102,3",,"100,5",,,,,,1,
AO13016itkt,2885060,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,140,,"8,9",,96,,"94,3",,,,,,8,
AO13031itkt,2885064,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2014,94,,132,,"10,8",,"108,3",,"106,3",,,,,,2,
RE13005itkt,2885082,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,treated,2014,96,,134,,"10,9",,"100,5",,"98,8",,,,,,6,
Grapeliitkfi,2885031,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,139,,"10,6",,"128,8",,"88,8",,1,,"5,2",,1,
AO14006itkt,2885056,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61894,https://doi.org/10.15454/6JMAYP,AO14006,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,132,,"10,6",,"100,5",,"98,7",,,,,,"4,5",
AO14006itkfi,2885055,BTH_Le_Moulon_2014_SetB1,BTH_Le_Moulon_2014_SetB1,61894,https://doi.org/10.15454/6JMAYP,AO14006,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,135,,"10,6",,"114,8",,"79,1",,3,,5,,2,
