observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
ARKEOSitkt,2969786,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,134,,10,,96.3,,,,122.3,,,,,,,
AO13026itkfi,2969694,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,138,,10.5,,81.6,,2,,79.7,,1,,6,,,
AO13026itknt,2969695,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,94,,138,,,,80.7,,1,,84.3,,2,,6.5,,1,
AO13029itkt,2969702,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,138,,10.6,,100.4,,,,127.5,,,,,,,
AO13029itknt,2969701,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,89,,138,,,,95.1,,3,,99.4,,1.8,,4.2,,1,
AO13029itkfi,2969700,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,85,,138,,10.1,,100.2,,3.5,,97.9,,2,,3.8,,,
AO13031itkt,2969780,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,91,,137,,10.9,,98.2,,,,124.6,,,,,,,
AO13031itknt,2969779,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,94,,136,,,,101.8,,4,,106.4,,2,,3.8,,1,
AO13031itkfi,2969778,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,136,,10.5,,102.2,,4.5,,99.8,,2,,3,,,
DI14001itknt,2969758,BTH_Le_Moulon_2015_SetA1,BTH_Le_Moulon_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,98,,138,,,,97.1,,2.5,,101.5,,2.2,,4,,1,
