observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2821529,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"45,87",,"10,41",,"68,8",,"98,31",
1,2821528,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"47,16",,"11,18",,67,,"96,71",
1,2821522,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"53,19",,"11,56",,"66,9",,"99,57",
1,2821520,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"68,9",,"80,66",
2,2821527,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,68,,"75,65",
2,2821427,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"49,66",,"9,92",,"70,5",,"104,35",
1,2821518,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"47,39",,"8,96",,"69,2",,"80,99",
2,2821523,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,50,,"10,63",,67,,"99,25",
2,2821521,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,68,,"83,25",
2,2821519,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"48,93",,"9,54",,"70,2",,"76,77",
1,2821426,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"53,19",,"9,59",,"66,2",,"109,71",
2,2821451,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"55,45",,"10,67",,"68,1",,"96,97",
2,2821449,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"69,2",,"76,29",
2,2821425,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"70,1",,"77,75",
1,2821424,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"69,4",,"74,68",
2,2821447,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"51,28",,"8,65",,"70,3",,"78,55",
1,2821446,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"50,42",,"8,81",,"68,6",,"77,62",
1,2821448,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"67,3",,"71,48",
1,2821450,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"55,35",,"10,21",,"68,5",,"100,17",
1,2821558,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"52,53",,"11,05",,"69,5",,"100,4",
1,2821534,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"48,38",,"11,44",,"70,2",,"102,22",
1,2821530,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"42,73",,"10,24",,70,,"77,81",
1,2821402,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"46,15",,"10,6",,"68,2",,"117,19",
