observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2838591,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,84",,,,"72,87",
1,2838511,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,08",,,,"77,86",
2,2838512,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"11,19",,,,"78,63",
2,2838510,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"11,8",,"4,5",,"43,71",
1,2838509,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"10,98",,"4,5",,"43,83",
1,2838541,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"12,55",,"2,5",,"34,35",
2,2838544,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,58",,,,"59,46",
1,2838543,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"13,84",,,,"57,26",
2,2838542,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"12,77",,5,,"36,62",
1,2838481,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"12,95",,"1,5",,"40,38",
2,2838484,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,98",,,,"58,78",
1,2838483,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"12,68",,,,"48,16",
2,2838482,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"13,1",,3,,"39,11",
2,2838594,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"12,33",,4,,"44,58",
2,2838596,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"11,55",,,,"70,93",
1,2838595,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,41",,,,"74,91",
1,2838593,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"11,66",,2,,"40,28",
