observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2775215,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,1",,118,,149,,71,,220,,43,,"0,36",,181,,16,,411,,82,,"37,7",,"12,9",,"79,5",,45,,1633,,"2,31",,30,
CF99005itkt,2775216,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,24,,117,,169,,76,,245,,86,,"0,74",,346,,46,,397,,198,,"42,35",,"13,5",,80,,57,,2008,,"2,12",,38,
Koreliitkt,2775185,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,3",,83,,161,,76,,237,,97,,"1,16",,327,,35,,429,,179,,"34,65",,"12,8",,"79,5",,61,,1702,,"3,54",,43,
RE99009itkt,2775227,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,9",,80,,133,,73,,206,,53,,"0,67",,184,,25,,405,,95,,"28,9",,"14,6",,69,,58,,1632,,"1,89",,38,
RE01004itkt,2775201,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,3",,60,,148,,74,,222,,114,,"1,88",,274,,54,,399,,142,,"45,95",,"12,7",,82,,54,,1812,,"2,09",,30,
CF00193itkt,2775225,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,5",,94,,167,,67,,234,,108,,"1,14",,392,,50,,468,,174,,NA,,"13,4",,NA,,63,,1792,,"2,99",,38,
CF00189itkt,2775194,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,5",,85,,115,,66,,181,,64,,"0,75",,196,,12,,417,,84,,"35,2",,"13,4",,"76,5",,57,,1403,,"3,72",,35,
CF99105itkt,2775226,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,"25,1",,128,,123,,61,,184,,82,,"0,64",,366,,35,,527,,153,,NA,,14,,NA,,66,,1432,,"3,85",,46,
RE99102itkt,2775189,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,6",,70,,128,,59,,187,,86,,"1,23",,234,,38,,435,,120,,"35,85",,"12,6",,79,,48,,1468,,"3,32",,31,
RE00108itkt,2775208,BTH_Clermont-Ferrand_2001_TECH,BTH_Clermont-Ferrand_2001_TECH,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,5",,85,,147,,72,,219,,91,,"1,07",,306,,34,,429,,168,,"30,87",,"12,7",,80,,55,,1640,,"2,59",,36,
