observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkt,2849052,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,145,,"83,8",,"94,4",,"80,2",
Bermudeitkt,2849045,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,145,,"80,6",,"104,8",,89,
DI10001itkt,2849062,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,146,,80,,"102,8",,"87,3",
CF09117itkt,2849050,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,87,,142,,"79,4",,"96,2",,"81,7",
AO10014itkt,2849038,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,142,,"78,4",,"92,3",,"78,4",
AO10013itkt,2849047,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,142,,"77,8",,107,,"90,9",
RE09002itkt,2849057,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,144,,"78,5",,"95,7",,"81,3",
Apacheitkt,2849054,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,141,,"78,9",,"103,9",,"88,2",
EM09015itkt,2849046,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,144,,82,,"111,3",,"94,6",
CF09030itkt,2849049,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,139,,"75,8",,"98,3",,"83,5",
RE09010itkt,2849044,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,treated,2010,91,,147,,"76,3",,"103,2",,"87,6",
Premioitkt,2849041,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,141,,"79,2",,"96,4",,"81,9",
AO10015itkt,2849037,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,92,,142,,"81,2",,"99,7",,"84,7",
CF09027itkt,2849069,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,142,,"81,2",,"97,6",,"82,9",
CF09093itkt,2849053,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,139,,"76,4",,"94,8",,"80,6",
RE09009itkt,2849059,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,146,,"77,1",,95,,"80,7",
RE09030itkt,2849039,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,147,,"80,8",,"83,9",,"71,2",
AO10010itkt,2849076,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,146,,"79,8",,"101,1",,"85,9",
EM09003itkt,2849043,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,83,,144,,"78,9",,"95,2",,"80,8",
DI10002itkt,2849064,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,148,,"76,2",,"104,2",,"88,5",
EM09021itkt,2849040,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,136,,"78,9",,"106,6",,"90,5",
CF09081itkt,2849074,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,140,,"81,2",,87,,"73,9",
DI10003itkt,2849063,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,146,,"81,9",,"102,6",,"87,1",
EM09080itkt,2849070,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,146,,81,,"111,4",,"94,6",
CF09077itkt,2849056,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,141,,"81,2",,"92,8",,"78,8",
DI10005itkt,2849065,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,142,,"79,8",,"98,7",,"83,9",
Attlassitkt,2849068,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,143,,"79,5",,"102,1",,"86,7",
