observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE01092,2784268,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,2002,5,,3,,2,,1,,4,
EM01343,2784279,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,2002,6,,6,,5,,1,,4,
DI02029,2784283,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49029,gnpis_pui:holding-921_taxon-4898_accession-49029,DI02029,VIRTUAL_TRIAL,,,,,,,,2002,6,,1,,3,,1,,8,
RE02105,2784285,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49635,gnpis_pui:holding-921_taxon-4898_accession-49635,RE02105,VIRTUAL_TRIAL,,,,,,,,2002,"8,5",,3,,2,,1,,1,
RE01091,2784269,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,48577,gnpis_pui:holding-921_taxon-4898_accession-48577,RE01091,VIRTUAL_TRIAL,,,,,,,,2002,4,,NA,,2,,3,,3,
EM01352,2784297,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,2002,7,,3,,3,,1,,1,
RE01095,2784267,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49084,gnpis_pui:holding-921_taxon-4898_accession-49084,RE01095,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,0,,2,,0,,0,
DI02024,2784287,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49660,gnpis_pui:holding-921_taxon-4898_accession-49660,DI02024,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,6,,5,,1,,3,
RE02132,2784257,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,49262,gnpis_pui:holding-921_taxon-4898_accession-49262,RE02132,VIRTUAL_TRIAL,,,,,,,,2002,6,,6,,5,,1,,1,
DI02030,2784262,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,48372,gnpis_pui:holding-921_taxon-4898_accession-48372,DI02030,VIRTUAL_TRIAL,,,,,,,,2002,"5,5",,1,,5,,1,,1,
RE01086,2784284,BTH_Rennes_2002_SetB3_PIETIN-VERSE,BTH_Rennes_2002_SetB3_PIETIN-VERSE,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,4,,5,,1,,6,
