observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF10299itkt,2861775,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,71,,NA,,100,,NA,,"29,6",,NA,,"88,1",,NA,,"217,7",,82,,"1,15",,221,,21,,323,,"9,7",,"75,6",,NA,,1420,,"2,86",,NA,
EM10126itkt,2861760,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,2",,54,,NA,,100,,NA,,"53,6",,NA,,"82,5",,NA,,236,,100,,"1,86",,206,,70,,346,,"10,1",,"74,5",,NA,,1460,,"2,21",,NA,
DI08019-2itkt,2861747,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,6",,49,,94,,NA,,35,,NA,,86,,NA,,215,,NA,,108,,"2,2",,218,,73,,395,,"10,9",,NA,,1300,,NA,,NA,,31,
CF10185itkt,2861789,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,18,,65,,NA,,100,,NA,,"75,1",,NA,,100,,NA,,"275,1",,102,,"1,57",,254,,70,,295,,"10,4",,"77,9",,NA,,1670,,"3,38",,NA,
CF10140itkt,2861749,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,"14,7",,44,,NA,,97,,NA,,"36,8",,NA,,"77,8",,NA,,"211,6",,137,,"3,15",,242,,64,,378,,"10,6",,"76,5",,NA,,1510,,"3,48",,NA,
CF10042itkt,2861756,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,9",,52,,NA,,100,,NA,,38,,NA,,"87,4",,NA,,"225,4",,121,,"2,35",,241,,77,,339,,"10,7",,"80,2",,NA,,1500,,"2,58",,NA,
CF10064itkt,2861783,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,8",,71,,NA,,97,,NA,,"51,6",,NA,,87,,NA,,"235,6",,79,,"1,11",,224,,10,,287,,"10,6",,"77,8",,NA,,1620,,"3,23",,NA,
CF09117itkt,2861785,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"23,8",,115,,91,,NA,,51,,NA,,88,,NA,,230,,NA,,97,,"0,85",,370,,88,,386,,"13,3",,NA,,1655,,NA,,NA,,"43,5",
CF09227itkt,2861791,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,69,,94,,NA,,62,,NA,,76,,NA,,232,,NA,,109,,"1,6",,280,,"89,5",,384,,11,,NA,,1523,,NA,,NA,,"30,5",
EM08231itkt,2861778,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,"22,5",,103,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,43,,"0,42",,106,,36,,126,,"12,9",,NA,,NA,,NA,,NA,,19,
Folkloritkt,2861745,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,7",,64,,91,,NA,,73,,NA,,94,,NA,,258,,NA,,90,,"1,43",,209,,79,,356,,"11,1",,NA,,1645,,NA,,NA,,"27,5",
RE09013itkt,2861771,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,4",,76,,NA,,100,,NA,,"50,6",,NA,,"86,6",,NA,,"237,2",,71,,"0,93",,200,,19,,364,,"10,3",,"75,2",,NA,,1660,,"2,23",,NA,
RE10040itkt,2861772,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,2",,54,,NA,,100,,NA,,"75,4",,NA,,94,,NA,,"269,4",,101,,"1,89",,191,,66,,394,,"10,3",,"77,9",,NA,,1580,,"4,4",,NA,
RE10072itkt,2861748,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,1",,52,,NA,,100,,NA,,"54,2",,NA,,"88,5",,NA,,"242,6",,92,,"1,74",,164,,82,,396,,"10,4",,"78,9",,NA,,1480,,"3,06",,NA,
RE10095itkt,2861754,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,7",,63,,NA,,100,,NA,,"52,6",,NA,,"87,4",,NA,,240,,95,,"1,5",,193,,20,,406,,"11,2",,"79,9",,NA,,1580,,"4,95",,NA,
RE09063itkt,2861768,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,"20,3",,84,,91,,NA,,67,,NA,,77,,NA,,235,,NA,,67,,"0,81",,178,,70,,372,,"11,1",,NA,,1660,,NA,,NA,,"25,5",
RE10039itkt,2861750,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,6",,78,,NA,,100,,NA,,"51,8",,NA,,91,,NA,,"242,8",,83,,"1,06",,218,,13,,312,,"11,3",,"76,4",,NA,,1550,,"3,67",,NA,
RE09079itkt,2861738,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,5",,69,,82,,NA,,13,,NA,,54,,NA,,149,,NA,,77,,"1,12",,168,,"79,5",,415,,"12,4",,NA,,1308,,NA,,NA,,26,
Premioitkt,2861753,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,"14,4",,42,,94,,NA,,74,,NA,,81,,NA,,249,,NA,,116,,"2,76",,205,,"77,5",,370,,"12,2",,NA,,1590,,NA,,NA,,"31,5",
EM09003itkt,2861744,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2011,"16,4",,55,,91,,NA,,47,,NA,,91,,NA,,229,,NA,,119,,"2,2",,248,,"86,5",,354,,"11,3",,NA,,1433,,NA,,NA,,35,
Apacheitkt,2861759,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,"22,1",,99,,100,,NA,,65,,NA,,87,,NA,,252,,NA,,83,,"0,84",,252,,74,,364,,"12,6",,NA,,1569,,NA,,NA,,"35,5",
EM10317itkt,2861746,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,6",,78,,NA,,100,,NA,,"61,5",,NA,,"90,4",,NA,,"251,9",,77,,"0,99",,187,,80,,377,,"10,6",,"74,7",,NA,,1650,,"2,39",,NA,
Lyrikitkt,2861790,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2011,19,,73,,91,,NA,,52,,NA,,86,,NA,,229,,NA,,81,,"1,11",,206,,"78,5",,389,,12,,NA,,1658,,NA,,NA,,39,
Ghaytaitkt,2861781,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,9",,72,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,137,,"1,9",,358,,91,,410,,"14,4",,NA,,NA,,NA,,NA,,52,
Grapeliitkt,2861752,BTH_Clermont-Ferrand_2011_TECH,BTH_Clermont-Ferrand_2011_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,4",,69,,88,,NA,,24,,NA,,84,,NA,,196,,NA,,80,,"1,18",,190,,37,,363,,"12,1",,NA,,1390,,NA,,NA,,21,
