observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date
1,3348763,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,84,,,,81,,,,18,,,,,,6.6,,,,6.6,,,
5,3348769,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,,,,,,,,,17,,,,,,,,,,,,,
10,3348699,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,85,,,,72,,,,17,,,,,,6.4,,,,7.5,,,
1,3348688,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,84,,,,72,,,,,,16,,,,7.5,,,,7,,,,,
6,3348695,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,78,,,,66,,,,,,16,,,,6.2,,,,6.2,,,,,
8,3348697,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,82,,,,76,,,,,,16,,,,7,,,,6.8,,,,,
7,3348696,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,77,,,,64,,,,17,,,,,,6.3,,,,6,,,
9,3348773,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402684,REPLICATE>BLOCK:5,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,Yes,,,,,,74,,,,62,,,,17,,,,,,6.2,,,,6.1,,,
4,3348693,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,,,87,,,,74,,,,17,,,,,,6.8,,,,7,,,
2,3348691,Cra12,KWS Caracal 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400994,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2012,Yes,,,,80,,,,75,,,,,,15,,,,7,,,,7.5,,,,,
