observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3194water_regimewatered,3340818,Ner12,Biogemma Nerac 2012,127588,https://doi.org/10.15454/8XPNG8,Lo1223_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,257.2090236487,,310.0557567282,,4068.3297882312,,72.10854217,,75.2555312062,,-104.0395480226,,-57.5689102564,,150.532,,928.043,,235.406,,34.4015152655,,33.4339461313,,36.3042424118,,17.7727220118,,17.2041172105,,17.477991453,,116.6854112282,
3195water_regimerainfed,3340573,Ner12,Biogemma Nerac 2012,127589,https://doi.org/10.15454/LSJ0SQ,Lo1242_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,200.5645299697,,297.6128805194,,2138.8422109566,,68.3690632151,,78.9005319242,,-218.255952381,,-180.1486111111,,132.755,,856.893,,343.641,,34.3814208033,,33.0708841009,,36.6469100901,,17.6997968819,,17.0141592039,,17.8709259259,,114.716954307,
3196water_regimewatered,3340820,Ner12,Biogemma Nerac 2012,127590,https://doi.org/10.15454/ZPQMID,Lo1251_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,273.7725844497,,313.8997718941,,4269.0611011412,,74.8907229412,,79.3874290785,,-107.446969697,,-60.8796296296,,203.175,,836.68,,276.395,,34.2617272061,,33.0263454165,,36.9400066998,,17.082479798,,16.974416644,,18.4119341564,,125.5470163439,
3199water_regimewatered,3340823,Ner12,Biogemma Nerac 2012,127593,https://doi.org/10.15454/TNGTAV,Lo1266_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,259.3534828872,,307.539324177,,4048.9730348255,,71.9497850503,,75.7666734467,,-104.0395480226,,-63.3591269841,,254.32,,928.043,,235.406,,34.5910069028,,33.4339461313,,36.3720167061,,17.1152590722,,17.2041172105,,18.1248677249,,119.6765876032,
3200water_regimerainfed,3340578,Ner12,Biogemma Nerac 2012,127594,https://doi.org/10.15454/TMJHZA,Lo1270_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,189.6814818455,,264.6884743315,,1864.3552967768,,71.5691361067,,83.1358952547,,-218.0062893082,,-200.5654761905,,228.546,,790.708,,372.741,,34.4136177157,,32.8029760514,,37.0378774149,,16.9831536519,,16.8442059513,,18.6954365079,,124.8714967831,
3083water_regimewatered,3340713,Ner12,Biogemma Nerac 2012,127479,https://doi.org/10.15454/ZUQPG3,PHB09_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,243.041714012,,322.9525543044,,3147.6945736917,,70.9344042927,,75.5177092869,,-103.6451149425,,-59.0083333333,,164.608,,919.824,,249.042,,34.3003378724,,33.5247363154,,36.4048573513,,17.3923979377,,17.1685118043,,17.6482222222,,107.2968369823,
3083water_regimerainfed,3340467,Ner12,Biogemma Nerac 2012,127479,https://doi.org/10.15454/ZUQPG3,PHB09_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,202.6517122783,,303.723873234,,1930.4149878601,,69.6356984797,,80.0552097394,,-218.5053030303,,-187.5215517241,,164.608,,836.68,,340.405,,34.3003378724,,33.0263454165,,36.768112332,,17.3923979377,,16.974416644,,18.022605364,,126.0684671679,
3010water_regimerainfed,3340398,Ner12,Biogemma Nerac 2012,127409,https://doi.org/10.15454/WBSYN7,F894_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,212.3810244744,,278.0374683959,,1948.5695684237,,71.3487562537,,80.5756245845,,-218.5053030303,,-198.1682692308,,226.93,,836.68,,326.769,,34.6007796662,,33.0263454165,,36.8911269399,,17.0335909091,,16.974416644,,18.5623931624,,129.1571467959,
3204water_regimerainfed,3340582,Ner12,Biogemma Nerac 2012,127598,https://doi.org/10.15454/E3TUYJ,Lo1282_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,205.3098076115,,317.9130865589,,1782.2211190275,,71.5904563604,,83.6359449211,,-218.0062893082,,-197.1896551724,,204.692,,790.708,,372.741,,34.3116609873,,32.8029760514,,37.0783257957,,17.0365724553,,16.8442059513,,18.5507662835,,131.3823084085,
3084water_regimewatered,3340714,Ner12,Biogemma Nerac 2012,127480,https://doi.org/10.15454/ELUEOX,F98902_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,272.1958693285,,302.2515575589,,3657.8601804401,,69.3154919823,,71.2182477372,,-101.2493169399,,-54.2833333333,,119.272,,992.172,,200.143,,34.4389291931,,33.6448118239,,36.1596564748,,17.7644341139,,17.188093191,,17.4982222222,,135.3601283108,
3084water_regimerainfed,3340468,Ner12,Biogemma Nerac 2012,127480,https://doi.org/10.15454/ELUEOX,F98902_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,207.1211059514,,267.9239111724,,2745.9611890933,,69.233668787,,74.6886928674,,-219.1623563218,,-172.0907738095,,119.272,,919.824,,272.491,,34.4389291931,,33.5247363154,,36.1389366725,,17.7644341139,,17.1685118043,,17.5055555556,,138.4665790789,
3211water_regimewatered,3340835,Ner12,Biogemma Nerac 2012,127605,https://doi.org/10.15454/0LXNCN,Mo15W_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,264.4949699798,,317.4234937856,,2554.8640392739,,72.8051724475,,80.361228535,,-107.446969697,,-62.3716666667,,252.704,,836.68,,303.049,,34.7777929777,,33.0263454165,,36.7986469869,,17.1688374126,,16.974416644,,18.4828888889,,120.9733295449,
3021water_regimewatered,3340655,Ner12,Biogemma Nerac 2012,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,267.3077478143,,285.5738060738,,3582.7948915604,,71.5328758398,,75.158329208,,-104.0395480226,,-61.5217391304,,203.175,,928.043,,235.406,,34.2617272061,,33.4339461313,,36.5750590022,,17.082479798,,17.2041172105,,18.072705314,,140.6632034852,
3085water_regimewatered,3340715,Ner12,Biogemma Nerac 2012,127481,https://doi.org/10.15454/QKMCCR,B37_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,268.9120458944,,301.225515396,,3745.7777074557,,71.6745204407,,79.4887819895,,-107.446969697,,-59.875,,178.819,,836.68,,326.769,,34.1844729077,,33.0263454165,,36.9105718308,,17.2595275673,,16.974416644,,18.2126984127,,132.2495680832,
3085water_regimerainfed,3340469,Ner12,Biogemma Nerac 2012,127481,https://doi.org/10.15454/QKMCCR,B37_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,199.5336626039,,275.9653544069,,1744.2444586444,,71.8700554608,,83.3662362955,,-218.0062893082,,-193.7416666667,,178.819,,790.708,,372.741,,34.1844729077,,32.8029760514,,37.0462426148,,17.2595275673,,16.8442059513,,18.3601851852,,133.6152287541,
3214water_regimewatered,3340838,Ner12,Biogemma Nerac 2012,127608,https://doi.org/10.15454/67FHQJ,N22_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,256.6514475902,,289.5603525605,,2663.4467154756,,73.0660977072,,76.8338898086,,-105.3214285714,,-58.837962963,,164.608,,869.151,,262.359,,34.3003378724,,33.2677156952,,36.7245948573,,17.3923979377,,17.0361372259,,17.8872427984,,137.0237575718,
3214water_regimerainfed,3340592,Ner12,Biogemma Nerac 2012,127608,https://doi.org/10.15454/67FHQJ,N22_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,199.3720604803,,262.0053528233,,1512.8073571614,,71.1195933701,,81.1357064218,,-218.3179012346,,-188.8916666667,,164.608,,814.174,,349.275,,34.3003378724,,32.9394744669,,36.7997544774,,17.3923979377,,16.9554243596,,18.0218518519,,129.7271789508,
3086water_regimewatered,3340716,Ner12,Biogemma Nerac 2012,127482,https://doi.org/10.15454/BWEN08,F353_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,233.7867379651,,305.3486734832,,3233.4199118905,,66.2200969074,,69.2987794764,,-100.2896825397,,-51.6440972222,,111.698,,1015.04,,228.125,,34.261900152,,33.5226296285,,36.4171936519,,17.8679694674,,17.1979949944,,17.4356481481,,107.6446271602,
3086water_regimerainfed,3340470,Ner12,Biogemma Nerac 2012,127482,https://doi.org/10.15454/BWEN08,F353_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,198.1385112725,,283.147336571,,1841.788456167,,66.6441984613,,73.4027429938,,-219.3714689266,,-166.5654761905,,111.698,,945.473,,297.692,,34.261900152,,33.6015428167,,35.8374031448,,17.8679694674,,17.2190455025,,17.3573412698,,125.2453740925,
3219water_regimerainfed,3340597,Ner12,Biogemma Nerac 2012,127613,https://doi.org/10.15454/AZDRPF,Oh40B_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,203.1211428603,,291.4257474247,,1645.6815765407,,70.2147906087,,83.7992657692,,-217.6233974359,,-185.5992647059,,133.087,,777.553,,399.532,,34.020475862,,32.7326317981,,36.7435282016,,17.7238794192,,16.868307814,,17.9931966726,,118.244731355,
3087water_regimewatered,3340717,Ner12,Biogemma Nerac 2012,127483,https://doi.org/10.15454/OTWCEI,EC136_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,255.7403582492,,308.5871912857,,2951.507342599,,65.8423946692,,69.7259977113,,-101.1838624339,,-52.4016666667,,111.698,,1007.718,,243.666,,34.261900152,,33.4356614281,,36.3063903891,,17.8679694674,,17.1975065939,,17.5102222222,,109.0302188746,
3221water_regimewatered,3340845,Ner12,Biogemma Nerac 2012,127615,https://doi.org/10.15454/9E4IDY,A554_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,246.8126831404,,259.9463124105,,3146.1014270005,,67.4637163689,,70.641044194,,-101.2493169399,,-53.1346153846,,111.698,,992.172,,224.22,,34.261900152,,33.6448118239,,35.9078766533,,17.8679694674,,17.188093191,,17.4405982906,,120.1939392468,
3221water_regimerainfed,3340599,Ner12,Biogemma Nerac 2012,127615,https://doi.org/10.15454/9E4IDY,A554_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,194.7452838023,,261.9234774918,,1834.3959600281,,63.5809606786,,71.9225485418,,-220.2485875706,,-164.4583333333,,111.698,,957.899,,327.839,,34.261900152,,33.6607121263,,35.8391250422,,17.8679694674,,17.2355383317,,17.3316872428,,122.6283121293,
3035water_regimewatered,3340669,Ner12,Biogemma Nerac 2012,127434,https://doi.org/10.15454/LLQDYK,EP2008-18_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,247.3274107853,,301.3967621908,,3416.0483449751,,68.0354860643,,74.5471299163,,-104.0395480226,,-56.0061728395,,132.755,,928.043,,296.568,,34.3814208033,,33.4339461313,,36.2508885408,,17.6997968819,,17.2041172105,,17.5510288066,,98.3296282033,
3088water_regimewatered,3340718,Ner12,Biogemma Nerac 2012,127484,https://doi.org/10.15454/9GOSKA,W95115_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,236.620147751,,299.0827146228,,2061.2741286307,,68.2485476109,,76.0006497458,,-104.9267241379,,-57.3842592593,,150.532,,902.897,,321.714,,34.4015152655,,33.3205720407,,36.441479485,,17.7727220118,,17.149877852,,17.5843621399,,117.0448810801,
3035water_regimerainfed,3340423,Ner12,Biogemma Nerac 2012,127434,https://doi.org/10.15454/LLQDYK,EP2008-18_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,221.7030889078,,289.4325246799,,1865.5533361245,,69.1443298928,,80.3465716678,,-218.5053030303,,-180.935483871,,132.755,,836.68,,363.854,,34.3814208033,,33.0263454165,,36.6105746596,,17.6997968819,,16.974416644,,17.9137992832,,124.9144754793,
3020water_regimewatered,3340654,Ner12,Biogemma Nerac 2012,127419,https://doi.org/10.15454/F8P1TS,EZ11A_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,263.4034003359,,297.4656678244,,3428.2339057009,,70.1560345084,,75.3919433316,,-104.0395480226,,-61.5217391304,,204.692,,928.043,,249.042,,34.3116609873,,33.4339461313,,36.5750590022,,17.0365724553,,17.2041172105,,18.072705314,,123.1011495749,
3229water_regimewatered,3340853,Ner12,Biogemma Nerac 2012,127623,https://doi.org/10.15454/RCUMRI,PHK29_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,256.0200735384,,315.8668261896,,3695.9111909839,,71.4908386804,,76.8469941159,,-105.7002923977,,-58.837962963,,164.608,,877.37,,286.079,,34.3003378724,,33.1782490243,,36.7245948573,,17.3923979377,,17.0753143056,,17.8872427984,,139.4746648663,
3089water_regimewatered,3340719,Ner12,Biogemma Nerac 2012,127485,https://doi.org/10.15454/ITYYBD,Pa91_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,257.9659126721,,323.0187804296,,3663.2864827415,,72.407638118,,77.8009341329,,-105.7002923977,,-61.1366666667,,203.175,,877.37,,286.079,,34.2617272061,,33.1782490243,,36.9067593766,,17.082479798,,17.0753143056,,18.2968888889,,127.0004251536,
3231water_regimewatered,3340855,Ner12,Biogemma Nerac 2012,127625,https://doi.org/10.15454/EQYTRS,PHT77_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,257.1587851281,,296.6030814591,,3624.919053701,,70.9260619433,,75.9994526085,,-104.9267241379,,-58.7612179487,,164.608,,902.897,,274.188,,34.3003378724,,33.3205720407,,36.5435029682,,17.3923979377,,17.149877852,,17.7521367521,,119.4449728888,
3230water_regimerainfed,3340608,Ner12,Biogemma Nerac 2012,127624,https://doi.org/10.15454/YPHNBZ,PHR36_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,204.9580286132,,262.7876462549,,2678.5745622747,,68.9961773205,,78.5961182599,,-219.0234848485,,-186.9136904762,,164.608,,848.674,,343.641,,34.3003378724,,33.160025349,,36.8126694958,,17.3923979377,,16.9731579027,,17.9805555556,,128.8419432839,
3036water_regimerainfed,3340424,Ner12,Biogemma Nerac 2012,127435,https://doi.org/10.15454/OVKBUY,F7081_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,202.933758474,,270.360609806,,1878.5539874016,,68.5128166255,,79.674989597,,-218.5053030303,,-184.175,,149.08,,836.68,,363.854,,34.3225756528,,33.0263454165,,36.6688042184,,17.5737099253,,16.974416644,,17.8625925926,,137.4263791891,
3090water_regimewatered,3340720,Ner12,Biogemma Nerac 2012,127486,https://doi.org/10.15454/7XVPGB,EA3076_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,261.3692107264,,263.1359243956,,3048.8576781879,,70.7302185377,,75.7961076559,,-104.9267241379,,-60.0133333333,,178.819,,902.897,,274.188,,34.1844729077,,33.3205720407,,36.6940732323,,17.2595275673,,17.149877852,,17.9542222222,,131.9035426689,
3036water_regimewatered,3340670,Ner12,Biogemma Nerac 2012,127435,https://doi.org/10.15454/OVKBUY,F7081_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,252.5560771628,,309.4557017913,,3834.1499058452,,68.0745965784,,72.7775618016,,-102.1830601093,,-58.4149305556,,149.08,,979.532,,245.079,,34.3225756528,,33.5483615337,,36.2526279542,,17.5737099253,,17.2662773019,,17.3428240741,,124.7419154584,
3235water_regimewatered,3340859,Ner12,Biogemma Nerac 2012,127629,https://doi.org/10.15454/HBOONE,SC-Malawi_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,283.1107948857,,324.2751072381,,3756.5677403531,,75.2844493337,,80.1778493953,,-107.446969697,,-58.757183908,,163.091,,836.68,,249.78,,34.2455697139,,33.0263454165,,36.768112332,,17.4577678964,,16.974416644,,18.022605364,,152.8355236286,
3239water_regimerainfed,3340617,Ner12,Biogemma Nerac 2012,127633,https://doi.org/10.15454/HAMEQC,UH_P024_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,202.7632986108,,283.2019434165,,2009.3018200072,,66.1473147586,,75.7455376227,,-218.4314971751,,-172.0907738095,,119.604,,928.043,,323.341,,34.0597906288,,33.4339461313,,36.1389366725,,17.7867534036,,17.2041172105,,17.5055555556,,128.4345420793,
3012water_regimerainfed,3340400,Ner12,Biogemma Nerac 2012,127411,https://doi.org/10.15454/KIHXDG,B105_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,193.701622175,,288.574495579,,1622.6962473359,,68.7049141567,,83.2541016217,,-218.0062893082,,-180.931372549,,119.604,,790.708,,409.826,,34.0597906288,,32.8029760514,,36.6451564075,,17.7867534036,,16.8442059513,,18.0133986928,,117.6505222843,
3037water_regimewatered,3340671,Ner12,Biogemma Nerac 2012,127436,https://doi.org/10.15454/MNJOZY,HMV5422_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,274.3362543162,,288.2228740746,,4725.5876539307,,72.3663293583,,75.4183142648,,-103.6451149425,,-62.5643939394,,228.546,,919.824,,235.406,,34.4136177157,,33.5247363154,,36.5007034815,,16.9831536519,,17.1685118043,,18.2351010101,,126.1835898962,
3092water_regimewatered,3340722,Ner12,Biogemma Nerac 2012,127488,https://doi.org/10.15454/BZLOYX,EP10_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,238.4907103399,,284.1646620423,,2692.621273169,,68.8244939026,,73.6704383733,,-102.6264124294,,-53.6696428571,,111.698,,945.473,,246.842,,34.261900152,,33.6015428167,,35.8374031448,,17.8679694674,,17.2190455025,,17.3573412698,,103.8306770239,
3244water_regimewatered,3340868,Ner12,Biogemma Nerac 2012,127638,https://doi.org/10.15454/VELLIH,UH_P104_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,254.5720524553,,297.5878513479,,3238.9594573916,,65.6359000976,,69.23753096,,-99.8642473118,,-51.6440972222,,111.698,,1001.626,,256.029,,34.261900152,,33.5423507088,,36.4171936519,,17.8679694674,,17.1999477673,,17.4356481481,,105.1514055098,
3019water_regimerainfed,3340407,Ner12,Biogemma Nerac 2012,127418,https://doi.org/10.15454/PJSPJG,B100_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,192.3362462287,,285.2182352597,,2010.936635461,,69.7433373165,,80.9032530229,,-218.3179012346,,-188.8916666667,,164.608,,814.174,,362.911,,34.3003378724,,32.9394744669,,36.7997544774,,17.3923979377,,16.9554243596,,18.0218518519,,115.5550544203,
3246water_regimewatered,3340870,Ner12,Biogemma Nerac 2012,127640,https://doi.org/10.15454/RGRUUB,UH_P148_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,232.5557972541,,311.5204268028,,3311.8000065327,,66.8093250036,,69.8417591899,,-100.7688172043,,-52.4016666667,,111.698,,999.499,,243.666,,34.261900152,,33.520621847,,36.3063903891,,17.8679694674,,17.1640916879,,17.5102222222,,99.9073899699,
3245water_regimerainfed,3340623,Ner12,Biogemma Nerac 2012,127639,https://doi.org/10.15454/MMGFWL,UH_P115_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,208.6803675499,,266.8733899537,,2471.3030496122,,66.9821956042,,73.1675622721,,-220.2485875706,,-161.3005952381,,106.839,,957.899,,271.852,,34.4742543699,,33.6607121263,,35.5645331144,,18.0162017906,,17.2355383317,,17.314484127,,126.3795151005,
3249water_regimerainfed,3340627,Ner12,Biogemma Nerac 2012,127643,https://doi.org/10.15454/VEZE8O,UH_S025_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,196.9622460866,,264.2866792428,,2199.3421726323,,66.1846125465,,74.1572913302,,-220.1932471264,,-180.7065972222,,164.608,,932.059,,297.692,,34.3003378724,,33.6239845438,,36.3360464122,,17.3923979377,,17.2214958892,,17.5439814815,,130.2612802091,
3250water_regimerainfed,3340628,Ner12,Biogemma Nerac 2012,127644,https://doi.org/10.15454/PRT5XO,UH304_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,189.6807188541,,288.9178459609,,2207.0110705357,,65.0754913571,,71.0746995415,,-219.4296448087,,-156.1130952381,,95.008,,992.172,,278.897,,34.4518223633,,33.6448118239,,35.5964525199,,17.976497114,,17.188093191,,17.4698412698,,122.0823561097,
3038water_regimewatered,3340672,Ner12,Biogemma Nerac 2012,127437,https://doi.org/10.15454/GYTVRS,Os426_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,252.4848877954,,309.3177738675,,3625.5356006941,,71.1999021468,,79.8900137933,,-107.446969697,,-56.1586021505,,131.303,,836.68,,326.769,,34.2979796417,,33.0263454165,,36.6105746596,,17.4884240129,,16.974416644,,17.9137992832,,139.3727000888,
3096water_regimewatered,3340724,Ner12,Biogemma Nerac 2012,127490,https://doi.org/10.15454/4XYXKB,MS71_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,235.6382754165,,271.0837698135,,3442.0892225797,,68.0232194298,,72.6199691902,,-101.7708333333,,-54.8862179487,,119.604,,971.313,,245.079,,34.0597906288,,33.6380323017,,36.0785767317,,17.7867534036,,17.2328947441,,17.3829059829,,103.9238846108,
