observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3213water_regimerainfed,3334185,Bol12,University_of_Bologna Cadriano 2012,127607,https://doi.org/10.15454/7CWQV7,N192_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,176.819087556,,184.9549754382,,1381.0246435927,,64.7088356589,,70.7050711539,,234.0736963974,,82.9017788603,
3209water_regimerainfed,3334181,Bol12,University_of_Bologna Cadriano 2012,127603,https://doi.org/10.15454/1ZCMBD,Lo1301_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,174.2736933953,,176.1621590477,,1849.8424996837,,66.7939182437,,71.9167741063,,227.7073537577,,96.3337984498,
3206water_regimewatered,3334424,Bol12,University_of_Bologna Cadriano 2012,127600,https://doi.org/10.15454/XXTRYK,Lo1288_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,198.0921510946,,264.438469713,,2110.9082835882,,70.2934966189,,79.3263007543,,249.9976043369,,107.8140942689,
3203water_regimewatered,3334421,Bol12,University_of_Bologna Cadriano 2012,127597,https://doi.org/10.15454/ZVAVSP,Lo1280_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,197.8699107312,,291.3024441585,,1607.19406281,,65.1594675021,,68.9017019011,,265.9209347225,,89.7542898314,
3200water_regimewatered,3334418,Bol12,University_of_Bologna Cadriano 2012,127594,https://doi.org/10.15454/TMJHZA,Lo1270_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,198.4676039096,,256.0929846922,,2125.9914857795,,70.2956693644,,75.4265953437,,248.2829642027,,95.6383741806,
3199water_regimewatered,3334417,Bol12,University_of_Bologna Cadriano 2012,127593,https://doi.org/10.15454/TNGTAV,Lo1266_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,203.5173618807,,275.23929398,,1982.7604385248,,69.5663510249,,71.1913688427,,256.5511063042,,102.4765597591,
3190water_regimewatered,3334408,Bol12,University_of_Bologna Cadriano 2012,127584,https://doi.org/10.15454/4YFVBA,Lo1180_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,202.6233366918,,271.4553046956,,2067.4069586196,,64.7790396036,,70.5282162308,,253.158249049,,112.5721763487,
3186water_regimewatered,3334405,Bol12,University_of_Bologna Cadriano 2012,127580,https://doi.org/10.15454/QHEMLY,Lo1123_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,188.6198426446,,257.9359628332,,1457.8213575407,,65.2775651459,,68.794015208,,237.7112352499,,101.9372852071,
3039water_regimerainfed,3334021,Bol12,University_of_Bologna Cadriano 2012,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,201.0357547656,,202.5262704759,,1710.0930788723,,69.52041959,,76.2678946612,,254.3978282524,,106.3256703797,
3182water_regimerainfed,3334155,Bol12,University_of_Bologna Cadriano 2012,127576,https://doi.org/10.15454/KF2P15,Lo1094_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,178.4776711838,,198.4073267813,,1959.2515646845,,70.1919089689,,75.2040409278,,236.6773541263,,99.331071537,
3011water_regimewatered,3334239,Bol12,University_of_Bologna Cadriano 2012,127410,https://doi.org/10.15454/ZJPT9Q,F912_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,201.7657425362,,254.7859558912,,2049.3053884813,,64.8533908311,,66.8467165414,,262.3835453806,,95.9809748016,
3243water_regimewatered,3334461,Bol12,University_of_Bologna Cadriano 2012,127637,https://doi.org/10.15454/H9VQPV,UH_P087_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,191.582912065,,252.7060716983,,1845.7280616653,,61.7422706194,,64.8119748877,,248.0164567609,,94.2554087164,
3164water_regimewatered,3334383,Bol12,University_of_Bologna Cadriano 2012,127558,https://doi.org/10.15454/C4VEF0,I233_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,197.2624552339,,246.4999243981,,864.4397317368,,71.2125773178,,78.7699167563,,258.0756187394,,102.3152829724,
3032water_regimewatered,3334260,Bol12,University_of_Bologna Cadriano 2012,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,202.3256669128,,279.8770007008,,1766.3422094522,,65.7998187335,,70.7423616846,,263.5710489972,,103.7548370573,
3036water_regimerainfed,3334018,Bol12,University_of_Bologna Cadriano 2012,127435,https://doi.org/10.15454/OVKBUY,F7081_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,194.7724170022,,207.4159905757,,1615.728513386,,66.6077561036,,73.6088219132,,250.4521906405,,105.7775850764,
3063water_regimerainfed,3334044,Bol12,University_of_Bologna Cadriano 2012,127462,https://doi.org/10.15454/WFMW08,W602S_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,181.5514421214,,195.0359411557,,1893.0187816906,,65.1471633459,,72.998255076,,230.797019369,,97.2567662765,
3222water_regimewatered,3334440,Bol12,University_of_Bologna Cadriano 2012,127616,https://doi.org/10.15454/VZN8H6,FR697_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,198.0421188028,,310.5000531233,,1280.7584197905,,67.6612256533,,69.9177892977,,245.5778914352,,105.7213872589,
3077water_regimewatered,3334301,Bol12,University_of_Bologna Cadriano 2012,127473,https://doi.org/10.15454/WZXITF,PHH93_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,194.0622757128,,281.5026087299,,1219.2299830362,,65.2110386058,,66.9973728865,,253.8964223195,,97.2130458422,
3088water_regimerainfed,3334066,Bol12,University_of_Bologna Cadriano 2012,127484,https://doi.org/10.15454/9GOSKA,W95115_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,179.3913011833,,192.0967287363,,1298.1286420216,,65.7126785561,,72.2965180834,,229.9616216214,,87.6607458383,
3211water_regimewatered,3334429,Bol12,University_of_Bologna Cadriano 2012,127605,https://doi.org/10.15454/0LXNCN,Mo15W_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,186.0992310778,,239.3601567009,,1747.3180728498,,68.7475101908,,77.8685291803,,243.1051754864,,99.1033059062,
3160water_regimerainfed,3334135,Bol12,University_of_Bologna Cadriano 2012,127554,https://doi.org/10.15454/QSWXHN,HMV5502_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,199.5246624335,,196.0593821159,,1271.7229668233,,69.8813191226,,75.718273676,,246.0648481564,,121.2338182754,
3160water_regimewatered,3334381,Bol12,University_of_Bologna Cadriano 2012,127554,https://doi.org/10.15454/QSWXHN,HMV5502_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,210.6014346787,,249.0317474832,,1627.7321195318,,66.7763387001,,71.982051602,,260.1472649866,,123.6443262338,
3062water_regimewatered,3334289,Bol12,University_of_Bologna Cadriano 2012,127461,https://doi.org/10.15454/WFCPMD,PB116_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,186.8720400784,,229.8460558716,,1276.6960692809,,68.4541739153,,71.579486447,,239.5616864466,,100.5028181634,
3076water_regimewatered,3334300,Bol12,University_of_Bologna Cadriano 2012,127472,https://doi.org/10.15454/SP8JD0,EP51_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,174.5366461487,,263.8217403337,,827.9602177243,,64.9762248704,,71.6113571546,,227.7459349675,,85.7423887042,
3159water_regimewatered,3334380,Bol12,University_of_Bologna Cadriano 2012,127553,https://doi.org/10.15454/0TQ4ET,HMV5409_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,183.5493787051,,276.6787498537,,1038.2575082372,,67.7177435113,,70.9377352644,,229.2974941976,,98.7383040084,
3192water_regimerainfed,3334164,Bol12,University_of_Bologna Cadriano 2012,127586,https://doi.org/10.15454/9UZPXS,Lo1199_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,185.336071345,,178.652966429,,1134.4837449438,,69.6232336192,,78.1382713398,,234.3471847937,,99.094784494,
3187water_regimerainfed,3334160,Bol12,University_of_Bologna Cadriano 2012,127581,https://doi.org/10.15454/UHQTBS,Lo1124_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,191.2380694981,,226.8894758941,,771.9975696534,,70.3760073224,,80.6013413496,,246.2469018525,,94.2541509997,
3014water_regimewatered,3334242,Bol12,University_of_Bologna Cadriano 2012,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,167.917314131,,269.1684982828,,1329.6647220465,,65.4276895544,,73.4212122739,,239.9418071396,,112.3236957033,
3002water_regimewatered,3334230,Bol12,University_of_Bologna Cadriano 2012,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,191.8713550931,,253.6645674854,,1545.8499600395,,61.7242543249,,65.1905649418,,246.1545137411,,100.788840134,
3183water_regimerainfed,3334156,Bol12,University_of_Bologna Cadriano 2012,127577,https://doi.org/10.15454/EKBCA6,Lo1095_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,189.0665209271,,217.9613667271,,885.2645681657,,71.2953692045,,78.6234136404,,241.2581733414,,106.8054977617,
3014water_regimerainfed,3333996,Bol12,University_of_Bologna Cadriano 2012,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,197.8972706518,,202.1551666213,,1536.7261995742,,67.8867936128,,74.4077100408,,246.476034007,,105.4424992432,
3002water_regimerainfed,3333984,Bol12,University_of_Bologna Cadriano 2012,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,185.4705248732,,226.8802324187,,1428.0880451715,,63.3702173692,,68.5359644499,,239.4019519879,,97.7519630507,
3092water_regimewatered,3334316,Bol12,University_of_Bologna Cadriano 2012,127488,https://doi.org/10.15454/BZLOYX,EP10_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,187.9902978429,,257.8021764936,,1313.3894762157,,65.0182551096,,70.9070561958,,237.4607344806,,105.7030719013,
3092water_regimerainfed,3334070,Bol12,University_of_Bologna Cadriano 2012,127488,https://doi.org/10.15454/BZLOYX,EP10_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,174.5640248869,,192.8429439671,,1089.5504957246,,65.1783408027,,74.026047822,,232.5550968092,,103.619936098,
3155water_regimerainfed,3334130,Bol12,University_of_Bologna Cadriano 2012,127549,https://doi.org/10.15454/B39W9G,H99_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,161.7023235391,,198.157553893,,1767.5305872822,,70.5092811472,,77.3578757361,,223.7373873524,,82.3813964617,
3155water_regimewatered,3334376,Bol12,University_of_Bologna Cadriano 2012,127549,https://doi.org/10.15454/B39W9G,H99_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,178.8802728317,,257.4553888214,,1189.3575119465,,65.9237131159,,73.4451628284,,235.1628291421,,78.3406922677,
3094water_regimewatered,3334317,Bol12,University_of_Bologna Cadriano 2012,127489,https://doi.org/10.15454/I1PIAB,NDB8_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,179.4488928428,,239.8497468318,,1047.5972829724,,64.6644200371,,70.1880265648,,223.4739385722,,97.4692334502,
3094water_regimerainfed,3334071,Bol12,University_of_Bologna Cadriano 2012,127489,https://doi.org/10.15454/I1PIAB,NDB8_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,184.3013800434,,204.8154983838,,1387.8367640425,,67.2010402336,,69.5904938597,,229.2604817276,,101.2673930576,
3034water_regimerainfed,3334016,Bol12,University_of_Bologna Cadriano 2012,127433,https://doi.org/10.15454/CAPEG4,LAN496_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,197.800933227,,203.7022261788,,719.2608346796,,69.4305167003,,79.3678124145,,248.3466160329,,109.8604183312,
3084water_regimewatered,3334308,Bol12,University_of_Bologna Cadriano 2012,127480,https://doi.org/10.15454/ELUEOX,F98902_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,201.5034002027,,235.3480460592,,1683.1094375417,,63.6001874707,,69.3760823302,,258.8031000791,,115.6138802357,
3096water_regimerainfed,3334072,Bol12,University_of_Bologna Cadriano 2012,127490,https://doi.org/10.15454/4XYXKB,MS71_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,186.2114991606,,206.1810800199,,1514.2286430589,,64.0468780052,,71.7757404498,,234.5849359417,,97.5108488204,
3029water_regimerainfed,3334011,Bol12,University_of_Bologna Cadriano 2012,127428,https://doi.org/10.15454/4W8MAU,B104_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,182.725685536,,218.0191633537,,622.9407054562,,72.2269518697,,82.1150553265,,239.1747686166,,92.4860110761,
3029water_regimewatered,3334257,Bol12,University_of_Bologna Cadriano 2012,127428,https://doi.org/10.15454/4W8MAU,B104_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,180.2015229926,,262.1650960585,,1280.5356402892,,66.4851409964,,78.6095223789,,234.7088479797,,96.9434635921,
3097water_regimewatered,3334319,Bol12,University_of_Bologna Cadriano 2012,127491,https://doi.org/10.15454/JQK4DZ,DK4676A_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,194.323901743,,276.1940233157,,1501.9869136845,,65.0810404015,,65.6606179718,,245.9087797075,,105.9270110405,
3041water_regimewatered,3334269,Bol12,University_of_Bologna Cadriano 2012,127440,https://doi.org/10.15454/VUPKKL,LH74_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,185.1549875307,,232.1827065532,,1489.3092233723,,66.2922709845,,71.971025463,,230.7670966211,,89.6201398875,
3015water_regimerainfed,3333997,Bol12,University_of_Bologna Cadriano 2012,127414,https://doi.org/10.15454/X2ENCA,F7028_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,193.9695882719,,155.8442038081,,1975.7091933246,,68.4635800982,,73.7408819085,,246.3258160539,,102.4797215399,
3256water_regimerainfed,3334228,Bol12,University_of_Bologna Cadriano 2012,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,181.2725951731,,219.1339544756,,1255.3244587004,,66.9359313034,,71.5358831504,,257.2752542082,,109.2221811923,
3149water_regimewatered,3334370,Bol12,University_of_Bologna Cadriano 2012,127543,https://doi.org/10.15454/TML7FA,F908_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,220.3529154792,,229.7517411881,,1353.8469638105,,63.2789712546,,64.4000440231,,277.4101596058,,113.5559485426,
3099water_regimewatered,3334321,Bol12,University_of_Bologna Cadriano 2012,127493,https://doi.org/10.15454/2D05EV,NC358_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,207.4256907392,,229.9184095011,,1052.1710240147,,68.4973079139,,78.2803246658,,259.3699413743,,94.9070454667,
3099water_regimerainfed,3334075,Bol12,University_of_Bologna Cadriano 2012,127493,https://doi.org/10.15454/2D05EV,NC358_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,193.9298955668,,207.7206245905,,1264.3205658146,,70.5539584766,,81.4053829938,,242.1214202477,,106.7677296342,
