observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
FRI00406629,3348609,Cam13,Syngenta Campagnola 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,FRI00406629,,18,21,"REPLICATE>BLOCK>PLOT:FRI00406629,REPLICATE>BLOCK:26,REPLICATE:2",watered,2013,"-1,52315299320",,"72,6945131971",,2423.9417989418,,6.9928154373,,288.4894117647,,"71,1713602039",,130,,230,,270,
FRI00408049,3347261,Cam13,Syngenta Campagnola 2013,127538,https://doi.org/10.15454/7L8N8B,F7057_H,REPLICATE>BLOCK>PLOT,,,FRI00408049,,2,48,"REPLICATE>BLOCK>PLOT:FRI00408049,REPLICATE>BLOCK:19,REPLICATE:2",rainfed,2013,"-8,35005452920",,"82,6789937723",,1623.9316239316,,3.6778039216,,226.4752941176,,"74,3289392431",,90,,190,,230,
FRI00407078,3348079,Cam13,Syngenta Campagnola 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,FRI00407078,,2,7,"REPLICATE>BLOCK>PLOT:FRI00407078,REPLICATE>BLOCK:1,REPLICATE:1",watered,2013,"-5,00509504250",,"77,6996082396",,2328.0423280423,,6.8612063492,,294.72,,"72,6945131971",,120,,245,,290,
FRI00407929,3347526,Cam13,Syngenta Campagnola 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,FRI00407929,,6,56,"REPLICATE>BLOCK>PLOT:FRI00407929,REPLICATE>BLOCK:32,REPLICATE:2",rainfed,2013,"-5,00509504250",,"77,6996082396",,1650.1322751323,,4.6026654217,,278.9270588235,,"72,6945131971",,90,,195,,235,
FRI00406753,3348453,Cam13,Syngenta Campagnola 2013,127474,https://doi.org/10.15454/GF4RQE,EP55_H,REPLICATE>BLOCK>PLOT,,,FRI00406753,,13,24,"REPLICATE>BLOCK>PLOT:FRI00406753,REPLICATE>BLOCK:30,REPLICATE:2",watered,2013,"-3,13567389240",,"71,1713602039",,1832.0105820106,,5.1154908185,,279.2282352941,,"68,0356863115",,120,,230,,270,
FRI00406980,3348177,Cam13,Syngenta Campagnola 2013,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,REPLICATE>BLOCK>PLOT,,,FRI00406980,,5,8,"REPLICATE>BLOCK>PLOT:FRI00406980,REPLICATE>BLOCK:13,REPLICATE:1",watered,2013,"-1,69902570300",,"77,6996082396",,2181.7615935263,,6.5191036415,,298.8,,"76,0005825366",,130,,270,,305,
FRI00406693,3348521,Cam13,Syngenta Campagnola 2013,127653,https://doi.org/10.15454/CHTSUF,NS501_H,REPLICATE>BLOCK>PLOT,,,FRI00406693,,15,28,"REPLICATE>BLOCK>PLOT:FRI00406693,REPLICATE>BLOCK:32,REPLICATE:2",watered,2013,"-3,15757903920",,"74,3289392431",,2037.037037037,,6.3101176471,,309.7694117647,,"71,1713602039",,140,,240,,280,
FRI00408194,3347479,Cam13,Syngenta Campagnola 2013,127537,https://doi.org/10.15454/QPSSQO,F7058_H,REPLICATE>BLOCK>PLOT,,,FRI00408194,,6,15,"REPLICATE>BLOCK>PLOT:FRI00408194,REPLICATE>BLOCK:23,REPLICATE:1",rainfed,2013,"-8,36737012330",,"79,5387303272",,1137.5661375661,,2.867416122,,252.0658823529,,"71,1713602039",,80,,180,,220,
FRI00408034,3347327,Cam13,Syngenta Campagnola 2013,127537,https://doi.org/10.15454/QPSSQO,F7058_H,REPLICATE>BLOCK>PLOT,,,FRI00408034,,3,50,"REPLICATE>BLOCK>PLOT:FRI00408034,REPLICATE>BLOCK:29,REPLICATE:2",rainfed,2013,"-8,35005452920",,"82,6789937723",,1148.9040060469,,2.7480161843,,239.1858823529,,"74,3289392431",,90,,200,,240,
FRI00407030,3348107,Cam13,Syngenta Campagnola 2013,127537,https://doi.org/10.15454/QPSSQO,F7058_H,REPLICATE>BLOCK>PLOT,,,FRI00407030,,3,2,"REPLICATE>BLOCK>PLOT:FRI00407030,REPLICATE>BLOCK:2,REPLICATE:1",watered,2013,"-1,63442604600",,"74,3289392431",,1412.037037037,,4.0459346405,,286.5317647059,,"72,6945131971",,120,,230,,270,
