id,name,class,decimal,upper,lower
0000794,0-9 DAMAGE scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000465,1-9 incidence scale,OrdinalScale,1.0,0.0,0.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000774,0-5 FHB field response scale,OrdinalScale,1.0,0.0,0.0
0000728,Double digit (00-99) + text,TextScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000425,ppm,NumericalScale,1.0,1.0,15.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000774,0-5 FHB field response scale,OrdinalScale,1.0,0.0,0.0
0000471,1-8 generic disease field response scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000439,spikelet,NumericalScale,1.0,0.0,100.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000728,Double digit (00-99) + text,TextScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000451,1-3 GLMCOL scale,NominalScale,0.0,0.0,0.0
0000450,0-9 density scale,OrdinalScale,1.0,0.0,0.0
0000428,mm,NumericalScale,1.0,2.0,40.0
0000450,0-9 density scale,OrdinalScale,1.0,0.0,0.0
0000415,µm,NumericalScale,0.0,0.1,0.5
0000428,mm,NumericalScale,1.0,2.0,40.0
0000443,text,TextScale,0.0,0.0,0.0
0000443,text,TextScale,0.0,0.0,0.0
0000443,text,TextScale,0.0,0.0,0.0
0000443,text,TextScale,0.0,0.0,0.0
0000443,text,TextScale,0.0,0.0,0.0
0000443,text,TextScale,0.0,0.0,0.0
0000824,0-9 GRNAPP scale,OrdinalScale,1.0,0.0,0.0
0000825,0-9 GRNAPP scale + text,TextScale,1.0,0.0,0.0
0000433,delta 13C,NumericalScale,2.0,0.0,0.0
0000452,1-3 GRNCOL scale,NominalScale,0.0,0.0,0.0
0000416,a value,NumericalScale,1.0,0.0,0.0
0000417,b value,NumericalScale,1.0,0.0,0.0
0000424,L value,NumericalScale,1.0,0.0,0.0
0000826,1-5 GRNCOL scale,NominalScale,0.0,0.0,0.0
0000469,1-9 USETYP scale,NominalScale,0.0,0.0,0.0
0000434,day,DurationScale,0.0,40.0,240.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000453,1-3 HRDCLS scale,OrdinalScale,0.0,0.0,0.0
0000862,1-4 HRDCLS scale,OrdinalScale,0.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000459,1-5 HRDCLS scale,OrdinalScale,0.0,0.0,0.0
0000425,ppm,NumericalScale,1.0,1.0,15.0
0000865,mg/kg,NumericalScale,2.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000392,grain/m2,NumericalScale,0.0,1000.0,50000.0
0000435,grain/spike,NumericalScale,1.0,10.0,300.0
0000436,grain/spikelet,NumericalScale,1.0,1.0,30.0
0000865,mg/kg,NumericalScale,2.0,0.0,0.0
0000425,ppm,NumericalScale,1.0,1.0,15.0
0000474,1-3 GRNPLUMP scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000455,1-3 SIZE scale,OrdinalScale,1.0,0.0,0.0
0000867,g/l,NumericalScale,1.0,0.0,0.0
0000423,kg/hl,NumericalScale,1.0,37.0,87.0
0000454,1-3 SEDVTR scale,OrdinalScale,0.0,0.0,0.0
0001033,g/1000 grain,NumericalScale,1.0,20.0,70.0
0001432,g/100 grain,NumericalScale,1.0,0.0,0.0
0001433,g/200 grain,NumericalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000805,g/m2,NumericalScale,0.0,0.0,100.0
0000804,kg/ha,NumericalScale,0.0,0.0,20000.0
0000432,t/ha,NumericalScale,2.0,0.0,20.0
0001431,g/plant,NumericalScale,1.0,0.0,0.0
0000412,g/plot,NumericalScale,1.0,0.0,12000.0
0000806,kg/plot,NumericalScale,3.0,1.0,6.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000896,num,NumericalScale,0.0,0.0,0.0
0000865,mg/kg,NumericalScale,2.0,0.0,0.0
0000425,ppm,NumericalScale,1.0,1.0,15.0
0000851,1-3 GROWTHCLS scale,NominalScale,0.0,0.0,0.0
0000476,Zadoks or decimal code (00-99),OrdinalScale,0.0,0.0,0.0
0000449,0-9 DAMAGE scale,OrdinalScale,1.0,0.0,0.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000855,Julian date (JD),TimeScale,0.0,0.0,0.0
0000850,yyyymmdd,TimeScale,0.0,0.0,0.0
0000434,day,DurationScale,0.0,40.0,240.0
0000460,1-5 Phenological relative scale,OrdinalScale,0.0,0.0,0.0
0000464,1-5 TOL scale,OrdinalScale,1.0,0.0,0.0
0000727,0-9 percentage scale + text,TextScale,1.0,0.0,0.0
0000789,1-9 disease scale,OrdinalScale,1.0,0.0,0.0
0000728,Double digit (00-99) + text,TextScale,1.0,0.0,0.0
0000470,Double digit (00-99),OrdinalScale,1.0,0.0,0.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000802,infertile tiller/m,NumericalScale,0.0,0.0,0.0
0000803,infertile tiller/m2,NumericalScale,0.0,0.0,0.0
0000805,g/m2,NumericalScale,0.0,0.0,100.0
0000804,kg/ha,NumericalScale,0.0,0.0,20000.0
0000432,t/ha,NumericalScale,2.0,0.0,20.0
0000412,g/plot,NumericalScale,1.0,0.0,12000.0
0000806,kg/plot,NumericalScale,3.0,1.0,6.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000457,1-5 DMG scale,OrdinalScale,1.0,0.0,0.0
0000410,%,NumericalScale,1.0,0.0,100.0
0000421,index,NumericalScale,0.0,0.0,1000.0
0000433,delta 13C,NumericalScale,2.0,0.0,0.0
0000418,CCI,NumericalScale,1.0,10.0,75.0
0000450,0-9 density scale,OrdinalScale,1.0,0.0,0.0
0000827,1-5 density scale,OrdinalScale,1.0,0.0,0.0
0000411,cm,NumericalScale,1.0,5.0,90.0
0000450,0-9 density scale,OrdinalScale,1.0,0.0,0.0
