,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14,L15,W15
12,3078water_regimewatered,3340152,Mur13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,watered,254.9011066822,62.0572527483,65.3921530842,256.9817664437,2779.1913996488,,131.3712989817,,,2013,17.0589673913,20.5175438596,15.2851300221,271.224,248.368,869.402,-29.4671052632,-19.9973404255,32.4738561543,35.2508153379,28.5029266375,,,,,,,,,,,,,,,,,,
13,3078water_regimerainfed,3339906,Mur13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,261.0900997844,62.9012920103,65.5798099679,252.3067437996,2305.013344624,,140.282164041,,,2013,17.0589673913,20.5175438596,14.4419831533,271.224,248.368,894.395,-103.7368421053,-157.9787234043,32.4738561543,35.2508153379,27.6745153566,,,,,,,,,,,,,,,,,,
14,402409,3360366,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402409.0,,12.0,16.0,"REPLICATE>BLOCK>PLOT:402409,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2075.7020757021,268.8639793766,"63,401277574","64,8642032369",5.5808152007,243,NA,135,"-1,46292566290",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,402850,3360856,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402850.0,,28.0,7.0,"REPLICATE>BLOCK>PLOT:402850,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,2770.8850289496,265.112,"63,401277574","66,243252045",7.3459487179,270,NA,140,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402130,3360056,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402130.0,,2.0,25.0,"REPLICATE>BLOCK>PLOT:402130,REPLICATE>BLOCK:2,REPLICATE:3",rainfed,2438.174851968,272.8870540987,"61,9461105814","63,401277574",6.6534635273,240,NA,140,"-1,45516699260",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,400948,3361261,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400948.0,,17.0,12.0,"REPLICATE>BLOCK>PLOT:400948,REPLICATE>BLOCK:17,REPLICATE:2",watered,2969.9510831586,265.6021512605,"63,401277574","66,243252045",7.8882539683,273,NA,153,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,400744,3361028,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400744.0,,7.0,18.0,"REPLICATE>BLOCK>PLOT:400744,REPLICATE>BLOCK:31,REPLICATE:1",watered,3018.250543003,252.2781006378,"63,401277574","66,243252045",7.6143851424,267,NA,152,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3340324,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,watered,308.5785644222,63.3382206015,66.2122536499,268.8757009035,2968.7499602265,,153.3963328413,,,2013,17.2644070048,20.2576111111,15.5123821891,255.57,248.368,860.558,-28.46875,-19.9973404255,32.742815454,35.1275334448,28.711473361,,,,,,,,,,,,,,,,,,
20,3256water_regimerainfed,3340078,Mur13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,322.3773807759,62.9255633915,64.761727523,254.9128934108,2458.6531168376,,141.8329750254,,,2013,17.2644070048,20.2576111111,14.495365221,255.57,248.368,894.395,-100.38,-157.9787234043,32.742815454,35.1275334448,27.8390293186,,,,,,,,,,,,,,,,,,
21,402121,3360046,Mur13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402121.0,,1.0,21.0,"REPLICATE>BLOCK>PLOT:402121,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2997.8313560403,286.5741790692,"60,5685845381","67,7330179755",8.5910105985,255,NA,145,"-7,16443343740",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
