,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,TnbL,L10,L12,W10,W12,L11,L13,W11,W13,Check,L9,W9
0,2824,3345597,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2824.0,,8.0,47.0,"REPLICATE>BLOCK>PLOT:2824,REPLICATE>BLOCK:16,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",rainfed,1545.7663991104,206.2305882,"70,2072968504","77,0164465884",3.1878431371,203.6,261.4,104.6,"-6,80914973800",2012,,,,,,,,,,,,
1,2393,3345150,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2393.0,,13.0,23.0,"REPLICATE>BLOCK>PLOT:2393,REPLICATE>BLOCK:25,REPLICATE:2",rainfed,1550.735797685,208.5505882,"70,2072968504","77,0164465884",3.2340686275,207.2,258.4,105.8,"-6,80914973800",2012,,,,,,,,,,,,
2,2060,3344822,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2060.0,,4.0,3.0,"REPLICATE>BLOCK>PLOT:2060,REPLICATE>BLOCK:7,REPLICATE:1",rainfed,1498.3029653448,197.796,"70,2072968504","77,0164465884",2.9635833333,198,248,110.6,"-6,80914973800",2012,,,,,,,,,,,,
3,1414,3344650,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1414.0,,7.0,3.0,"REPLICATE>BLOCK>PLOT:1414,REPLICATE>BLOCK:13,REPLICATE:1",watered,1576.720705311,243.2244706,"70,2072968504","78,7365616513",3.8349705883,193.4,243.4,107.8,"-8,52926480090",2012,,,,,,,,,,,,
4,1393,3344629,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1393.0,,28.0,3.0,"REPLICATE>BLOCK>PLOT:1393,REPLICATE>BLOCK:13,REPLICATE:2",watered,2211.1269617737,282.7091765,"70,2072968504","70,2072968504",6.251058825,227.8,287.2,110.6,"0,00000000000",2012,,,,,,,,,,,,
5,3039water_regimewatered,3334267,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,watered,269.0083049938,70.2534245372,73.9518512764,209.7188284398,1961.9277553231,264.1120555477,110.2878143722,,,2012,,,,,,,,,,,,
6,3039water_regimerainfed,3334021,Bol12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,202.5262704759,69.52041959,76.2678946612,201.0357547656,1710.0930788723,254.3978282524,106.3256703797,,,2012,,,,,,,,,,,,
7,2737,3345499,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2737.0,,11.0,43.0,"REPLICATE>BLOCK>PLOT:2737,REPLICATE>BLOCK:22,REPLICATE:3",rainfed,1681.7562302568,181.6734118,"68,5802497608","70,2072968504",3.0553039217,220.4,274,119.2,"-1,62704708960",2012,,,,,,,,,,,,
8,2353,3345110,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2353.0,,11.0,21.0,"REPLICATE>BLOCK>PLOT:2353,REPLICATE>BLOCK:21,REPLICATE:2",rainfed,1735.7248792046,193.5494118,"66,8801572071","73,5640337939",3.3594852942,194.2,244,114,"-6,68387658680",2012,,,,,,,,,,,,
9,2215,3344998,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2215.0,,17.0,11.0,"REPLICATE>BLOCK>PLOT:2215,REPLICATE>BLOCK:34,REPLICATE:1",rainfed,1982.2234766652,188.8743529,"65,1850475229","73,5640337939",3.7439117646,209.8,259.2,126.6,"-8,37898627100",2012,,,,,,,,,,,,
10,1289,3344519,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1289.0,,6.0,6.0,"REPLICATE>BLOCK>PLOT:1289,REPLICATE>BLOCK:11,REPLICATE:1",watered,1427.9026214055,227.1698824,"65,1850475229","73,5640337939",3.2437647058,189,231.6,114.8,"-8,37898627100",2012,,,,,,,,,,,,
11,1312,3344548,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1312.0,,25.0,5.0,"REPLICATE>BLOCK>PLOT:1312,REPLICATE>BLOCK:7,REPLICATE:2",watered,1790.7501413714,247.5247059,"65,1850475229","73,5640337939",4.4325490208,196.6,271.4,122.6,"-8,37898627100",2012,,,,,,,,,,,,
12,3078water_regimewatered,3334302,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,watered,237.5653468703,65.2252689048,73.1681274422,195.1553856541,1710.7861279722,257.1733649025,119.5604260253,,,2012,,,,,,,,,,,,
13,3078water_regimerainfed,3334056,Bol12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,191.5990603538,68.4015840867,75.0174790325,211.3053373378,1483.7463471747,259.4133068885,121.0790126893,,,2012,,,,,,,,,,,,
14,2658,3345410,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2658.0,,6.0,39.0,"REPLICATE>BLOCK>PLOT:2658,REPLICATE>BLOCK:11,REPLICATE:3",rainfed,1156.2178827455,209.2522353,"65,1850475229","70,2072968504",2.4194117646,203.4,259.6,107.2,"-5,02224932750",2012,,,,,,,,,,,,
15,2011,3344762,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2011.0,,11.0,1.0,"REPLICATE>BLOCK>PLOT:2011,REPLICATE>BLOCK:21,REPLICATE:1",rainfed,925.716440443,236.86,"65,1850475229","70,2072968504",2.1926519608,190.4,247.6,100.6,"-5,02224932750",2012,,,,,,,,,,,,
16,1116,3344310,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1116.0,,11.0,10.0,"REPLICATE>BLOCK>PLOT:1116,REPLICATE>BLOCK:22,REPLICATE:1",watered,1368.0659672965,282.4941176,"65,1850475229","71,890560176",3.8647058825,190.4,243.8,101.8,"-6,70551265310",2012,,,,,,,,,,,,
17,1311,3344547,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,1311.0,,26.0,5.0,"REPLICATE>BLOCK>PLOT:1311,REPLICATE>BLOCK:9,REPLICATE:2",watered,1574.2642026605,301.8254118,"65,1850475229","68,5802497608",4.7515294125,211.2,269.8,102,"-3,39520223790",2012,,,,,,,,,,,,
18,2439,3345208,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT,,,2439.0,,9.0,25.0,"REPLICATE>BLOCK>PLOT:2439,REPLICATE>BLOCK:18,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2000.3239396084,219.6007059,"65,1850475229","73,5640337939",4.3927254917,171,265.2,114.2,"-8,37898627100",2012,,,,,,,,,,,,
19,3256water_regimewatered,3334474,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,watered,287.4612941365,65.4176491614,70.3740994119,202.4132920881,1478.4027567722,253.5623910228,98.5434381734,,,2012,,,,,,,,,,,,
20,3256water_regimerainfed,3334228,Bol12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,University_of_Bologna Cadriano 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,219.1339544756,66.9359313034,71.5358831504,181.2725951731,1255.3244587004,257.2752542082,109.2221811923,,,2012,,,,,,,,,,,,
21,3,3344196,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,82,72,8,7.5,,,,,,,
22,2,3344195,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,90,82,8,8,,,,,,,
23,4,3344197,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,16,87,79,9,9,,,,,,,
24,1,3344191,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,,,,,,,,,,2012,15,92,81,8,8,,,,,,,
25,3,3344188,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,17,,,,,90,73,9,8.5,,,
26,5,3344190,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,16,90,82,9,9,,,,,,,
27,2,3344187,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,17,,,,,90,82,9,9,,,
28,4,3344189,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,16,83,81,9,9,,,,,,,
29,1,3344184,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,16,90,72,9,8.5,,,,,,,
30,3,3344173,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,16,90,83,9,7,,,,,,,
31,5,3344175,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,16,90,85,8.5,7.5,,,,,,,
32,2,3344172,Bol12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,University_of_Bologna Cadriano 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2237,REPLICATE>BLOCK:16,REPLICATE>BLOCK:32,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,,,,,,,,,,2012,16,90,89,9,8,,,,,,,
