,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L9,L10,L11,L12,L13,W9,W10,W11,W12,W13,L14,W14,L8,W8
0,YCXGDTM1097021,3355813,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1097021,,97.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1097021,REPLICATE>BLOCK:16,REPLICATE:5",rainfed,2630.9348996574,312.8594117647,"73,5986808046","77,2509816604",8.231127451,200,235,110,"-3,65230085580",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
1,YCXGDTM1069025,3355811,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1069025,,69.0,25.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1069025,REPLICATE>BLOCK:34,REPLICATE:4",rainfed,2260.2902688556,330.4711764706,"76,1315900235","78,4192045197",7.4696078431,180,220,85,"-2,28761449620",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2,YCXGDTM1046031,3355810,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1046031,,46.0,31.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1046031,REPLICATE>BLOCK:61,REPLICATE:3",rainfed,2430.039623576,302.85,"73,5986808046","77,2509816604",7.359375,205,250,105,"-3,65230085580",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
3,YCXGDTM1096046,3355809,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1096046,,96.0,46.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1096046,REPLICATE>BLOCK:15,REPLICATE:2",watered,2940.0606980273,310.5052941176,NA,NA,9.1290441176,300,345,145,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
4,YCXGDTM1074043,3355808,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1074043,,74.0,43.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1074043,REPLICATE>BLOCK:11,REPLICATE:1",watered,3783.7999521417,327.355,NA,NA,12.3864583333,320,370,170,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3338085,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,344.8616585437,71.0689526046,,308.517012286,3335.4893378814,353.5376402196,154.1556903935,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3039water_regimerainfed,3337839,Gra13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,337.9127056096,74.7218015315,77.7671636671,188.3086060672,2496.6149537647,232.0345961238,99.0686111823,,,2013,15.8637878788,15.3208585859,13.1310044893,415.177,447.008,1185.674,-210.1759259259,-40.7299382716,38.1282594888,37.189973855,33.1022117485,,,,,,,,,,,,,,,
7,YCXGDTM1094027,3356055,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1094027,,94.0,27.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1094027,REPLICATE>BLOCK:43,REPLICATE:5",rainfed,2772.0914363698,238.2155882353,"69,2512954927","73,5986808046",6.6035539216,170,210,95,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
8,YCXGDTM1087021,3356053,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1087021,,87.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1087021,REPLICATE>BLOCK:19,REPLICATE:4",rainfed,2780.5444887118,245.98,"65,0109583653","69,2512954927",6.8395833333,210,250,120,"-4,24033712740",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
9,YCXGDTM1045029,3356052,Gra13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1045029,,45.0,29.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1045029,REPLICATE>BLOCK:52,REPLICATE:3",rainfed,2150.1172791243,306.5838235294,"67,8477662825","72,2486439239",6.5919117647,200,245,115,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
