,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L11,L13,W11,W13,Check
13,3078water_regimerainfed,3336152,Deb12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,287.0229806664,70.0134525593,73.0912179439,202.9051968581,1486.3383555833,255.7739134253,121.9604545379,,,2012,20.6738928004,18.992267972,17.4031972876,152.167,194.743,963.839,-53.7222222222,-132.4301075269,35.8698646075,32.9995211492,30.3783277598,,,,,,
14,WD3097,3351425,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3097,,41.0,13.0,"REPLICATE>BLOCK>PLOT:WD3097,REPLICATE>BLOCK:14,REPLICATE:3",rainfed,1714.8752979685,325.8534117647,"64,6744337149","66,8932531126",5.5879796659,215,269,120,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
15,WD2205,3351260,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2205,,30.0,16.0,"REPLICATE>BLOCK>PLOT:WD2205,REPLICATE>BLOCK:30,REPLICATE:2",rainfed,1718.6768887449,324.4376470588,"63,4177441029","65,7698661507",5.5760348584,189,241,112,"-2,35212204780",2012,,,,,,,,,,,,,,,,,
16,WD1026,3350766,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1026,,2.0,5.0,"REPLICATE>BLOCK>PLOT:WD1026,REPLICATE>BLOCK:4,REPLICATE:1",rainfed,2325.8036157933,298.908,"63,4177441029","64,6744337149",6.9520130719,202,245,110,"-1,25668961200",2012,,,,,,,,,,,,,,,,,
17,WW2227,3350707,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2227,,31.0,17.0,"REPLICATE>BLOCK>PLOT:WW2227,REPLICATE>BLOCK:33,REPLICATE:2",watered,2188.8458225668,315.4277647059,"64,6744337149","65,7698661507",6.904227451,233,279,116,"-1,09543243580",2012,,,,,,,,,,,,,,,,,
18,WW1173,3350356,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1173,,13.0,5.0,"REPLICATE>BLOCK>PLOT:WW1173,REPLICATE>BLOCK:25,REPLICATE:1",watered,1459.8608761045,356.2223529412,"68,1215767585","69,553958451",5.2003507625,231,286,110,"-1,43238169250",2012,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3336570,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,366.8131957071,66.1567701705,67.0510962449,234.3191125867,1903.4520275185,284.4674817806,113.3126172414,,,2012,20.3843729319,19.1592682393,17.5406899493,119.866,198.286,1019.206,-21.9782608696,-40.1614583333,35.4715128226,33.3537056248,30.6264035631,,,,,,
20,3256water_regimerainfed,3336324,Deb12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,340.5007252997,63.9433067432,65.9244220894,205.9650131868,1963.2826629361,259.1147972064,115.4438497185,,,2012,20.3843729319,19.0419376801,17.6053030354,119.866,216.024,1042.764,-51.8484848485,-128.3743589744,35.4715128226,33.2068926259,30.7180526098,,,,,,
21,WD3025,3351343,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3025,,38.0,4.0,"REPLICATE>BLOCK>PLOT:WD3025,REPLICATE>BLOCK:4,REPLICATE:3",rainfed,2225.7162823201,280.9249411765,"68,1215767585","71,0427983458",6.2525921569,192,250,111,"-2,92122158730",2012,,,,,,,,,,,,,,,,,
22,WD2160,3351208,Deb12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2160,,28.0,13.0,"REPLICATE>BLOCK>PLOT:WD2160,REPLICATE>BLOCK:23,REPLICATE:2",rainfed,2018.7949143173,295.5882352941,"66,8932531126","69,553958451",5.9673202614,193,250,101,"-2,66070533840",2012,,,,,,,,,,,,,,,,,
