observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
7,3361509,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,97,,,,80,,,,,,,,15,,,,10,,,,9.5,,,,,,,
8,3361456,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,100,,,,66,,,,,,,,16,,,,10,,,,7.5,,,,,,,
10,3361507,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,100,,,,97,,,,,,,,,,15,,10,,,,10.5,,,,,,,,,
16,3361461,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,16,,,"REPLICATE>BLOCK>PLOT>PLANT:16,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,99,,,,87,,,,,,,,16,,,,9,,,,8,,,,,,,
19,3361462,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,19,,,"REPLICATE>BLOCK>PLOT>PLANT:19,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,,,98,,,,92,,,,,,17,,,,,,8.5,,,,9,,,,,
11,3361458,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,98,,,,81,,,,,,,,16,,,,8,,,,8,,,,,,,
3,3361508,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,84,,,,69,,,,,,,,15,,,,8.5,,,,8,,,,,,,
15,3361452,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,15,,,"REPLICATE>BLOCK>PLOT>PLANT:15,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,94,,,,81,,,,,,,,,,15,,7.5,,,,7.5,,,,,,,,,
15,3361485,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,15,,,"REPLICATE>BLOCK>PLOT>PLANT:15,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,98,,,,87,,,,,,,,,,15,,9.5,,,,11,,,,,,,,,
17,3361514,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,17,,,"REPLICATE>BLOCK>PLOT>PLANT:17,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,99,,,,84,,,,,,,,16,,,,8.5,,,,9.5,,,,,,,
4,3361441,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,89,,,,,,,,,,96,,16,,,,8,,,,,,,,,,9,
1,3361445,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,101,,,,95,,,,,,,,,,15,,10,,,,9,,,,,,,,,
12,3361451,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,12,,,"REPLICATE>BLOCK>PLOT>PLANT:12,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,99,,,,91,,,,,,,,,,16,,9,,,,9.5,,,,,,,,,
14,3361511,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,14,,,"REPLICATE>BLOCK>PLOT>PLANT:14,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,83,,,,66,,,,,,,,16,,,,7,,,,7,,,,,,,
18,3361454,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,18,,,"REPLICATE>BLOCK>PLOT>PLANT:18,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,102,,,,95,,,,,,,,,,15,,9,,,,8.5,,,,,,,,,
6,3361504,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,99,,,,89,,,,,,,,,,15,,8,,,,9,,,,,,,,,
7,3361449,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,101,,,,93,,,,,,,,,,15,,8.5,,,,8.5,,,,,,,,,
10,3361450,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,90,,,,102,,,,,,,,,,15,,8.5,,,,9,,,,,,,,,
3,3361447,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,101,,,,88,,,,,,,,,,15,,9,,,,9,,,,,,,,,
6,3361463,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,,,,,100,,,,66,,,,17,,,,,,,,9,,,,8,,,
9,3361506,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,95,,,,89,,,,,,,,,,15,,9,,,,9,,,,,,,,,
14,3361460,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,14,,,"REPLICATE>BLOCK>PLOT>PLANT:14,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,,,101,,,,85,,,,,,,,15,,,,8.5,,,,9,,,,,,,
13,3361519,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,13,,,"REPLICATE>BLOCK>PLOT>PLANT:13,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,,,78,,,,50,,,,,,17,,,,,,5.5,,,,5.5,,,,,
17,3361453,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,17,,,"REPLICATE>BLOCK>PLOT>PLANT:17,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,100,,,,95,,,,,,,,,,15,,9.5,,,,9,,,,,,,,,
14,3361494,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,14,,,"REPLICATE>BLOCK>PLOT>PLANT:14,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,90,,,,68,,,,,,,,16,,,,8,,,,7.5,,,,,,,
