observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
2,3361446,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,98,,,,88,,,,,,,,,,16,,9,,,,10,,,,,,,,,
7,3361491,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,94,,,,81,,,,,,,,15,,,,9,,,,8.5,,,,,,,
20,3361455,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,20,,,"REPLICATE>BLOCK>PLOT>PLANT:20,REPLICATE>BLOCK>PLOT:NXN2LAV2012011,REPLICATE>BLOCK:6,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,2012,102,,,,99,,,,,,,,,,15,,9,,,,9,,,,,,,,,
12,3361483,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,12,,,"REPLICATE>BLOCK>PLOT>PLANT:12,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,94,,,,81,,,,,,,,,,15,,8.5,,,,9,,,,,,,,,
20,3361517,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,20,,,"REPLICATE>BLOCK>PLOT>PLANT:20,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,79,,,,58,,,,,,,,16,,,,6.5,,,,6,,,,,,,
4,3361480,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,93,,,,87,,,,,,,,,,15,,9,,,,10,,,,,,,,,
8,3361482,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,93,,,,90,,,,,,,,,,15,,9,,,,9,,,,,,,,,
19,3361495,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,19,,,"REPLICATE>BLOCK>PLOT>PLANT:19,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,91,,,,72,,,,,,,,16,,,,9.5,,,,8.5,,,,,,,
16,3361486,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,16,,,"REPLICATE>BLOCK>PLOT>PLANT:16,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,90,,,,80,,,,,,,,,,15,,8,,,,9,,,,,,,,,
11,3361493,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,94,,,,67,,,,,,,,15,,,,10,,,,9,,,,,,,
11,3361510,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,94,,,,74,,,,,,,,16,,,,9,,,,8,,,,,,,
5,3361490,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV3009026,REPLICATE>BLOCK:9,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",watered,2012,,,96,,,,82,,,,,,,,17,,,,8,,,,8,,,,,,,
