observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
4,3355457,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,85,,82,,75,,66,,,,,,83,,16,,8,,8,,8,,8,,,,,,8,
2,3355438,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,110,,107,,100,,88,,,,,,103,,16,,9,,10,,9,,8,,,,,,9,
7,3355433,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,104,,111,,105,,101,,,,,,96,,17,,10,,10,,10,,10,,,,,,9,
1,3355451,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,82,,79,,79,,74,,,,,,76,,17,,8,,8,,8,,8,,,,,,7,
1,3355430,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,101,,100,,97,,90,,,,,,91,,16,,10,,10,,9,,9,,,,,,9,
4,3355477,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,99,,101,,105,,96,,92,,,,,,17,,9,,10,,10,,9,,9,,,,,
5,3355431,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,109,,112,,163,,100,,,,,,102,,17,,10,,9,,9,,9,,,,,,9,
7,3355460,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:YCXGDTM1086028,REPLICATE>BLOCK:51,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2013,97,,76,,73,,62,,,,,,76,,17,,10,,8,,7,,7,,,,,,7,
2,3355475,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,103,,106,,100,,93,,83,,,,,,17,,9,,9,,8,,8,,7,,,,,
10,3355445,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,108,,103,,101,,94,,,,,,99,,16,,10,,10,,9,,9,,,,,,9,
8,3355443,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,102,,107,,105,,95,,,,,,95,,17,,10,,11,,10,,9,,,,,,9,
3,3355439,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1091051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,97,,101,,98,,95,,,,,,93,,16,,10,,11,,10,,9,,,,,,9,
3,3355476,Gra13,Biogemma Graneros 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:YCXGDTM1071038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2013,98,,102,,103,,97,,90,,,,,,17,,10,,10,,10,,9,,8,,,,,
