observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
1,3347177,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,66,,,,67,,,,76,,,,,,20,,8.5,,,,7,,,,7.5,,,,,
9,3347188,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,80,,,,83,,,,,,69,,,,16,,8,,,,9,,,,,,7.5,,,
5,3347184,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,79,,,,86,,,,,,78,,,,16,,7,,,,9,,,,,,7.5,,,
7,3347186,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,82,,,,78,,,,,,67,,,,15,,8,,,,8,,,,,,7.5,,,
11,3347204,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,11,,,"REPLICATE>BLOCK>PLOT>PLANT:11,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
4,3347183,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,83,,,,82,,,,,,67,,,,15,,9,,,,7.5,,,,,,6.5,,,
2,3347195,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:FRI00406594,REPLICATE>BLOCK:183,REPLICATE>BLOCK:27,REPLICATE:2,REPLICATE:2",watered,2013,Yes,,95,,,,90,,,,,,76,,,,15,,7.5,,,,10,,,,,,6.5,,,
8,3347187,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,82,,,,78,,,,,,71,,,,16,,8,,,,9.5,,,,,,9.5,,,
6,3347185,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,71,,,,81,,,,,,70,,,,15,,8.5,,,,9,,,,,,7.5,,,
10,3347189,Cam13,Syngenta Campagnola 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:FRI00406835,REPLICATE>BLOCK:250,REPLICATE>BLOCK:36,REPLICATE:1,REPLICATE:1",watered,2013,Yes,,75,,,,79,,,,,,73,,,,16,,8,,,,9,,,,,,8,,,
