observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
10,3363013,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,88.7,,,,93.8,,,,74.9,,,,,,16,,7.6,,,,7.7,,,,7.6,,,,,
3,3363022,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV1063003,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:1",rainfed,2013,Yes,,84,,,,77.2,,,,59.5,,,,,,17,,7.1,,,,6.6,,,,6.7,,,,,
6,3362993,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,79,,,,70.2,,,,,,75.4,,16,,,,7.5,,,,7,,,,,,6.8,
8,3363011,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,84.6,,,,82.1,,,,63.8,,,,,,17,,7.7,,,,7.8,,,,7.1,,,,,
5,3363016,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,85.3,,,,83.6,,,,72.7,,,,,,17,,7.6,,,,7.8,,,,7.6,,,,,
4,3362992,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,90.5,,,,79.5,,,,,,90.4,,16,,,,8.6,,,,8.3,,,,,,7.9,
9,3363019,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,78,,,,73.5,,,,57.2,,,,,,17,,7,,,,6.7,,,,6,,,,,
1,3363014,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,80.4,,,,82.1,,,,73.6,,,,,,17,,7.1,,,,7.6,,,,7.3,,,,,
7,3363025,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,87.3,,,,90.6,,,,69.4,,,,17,,,,8,,,,8,,,,7.6,,,
1,3362986,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,64.9,,,,57.6,,,,,,70.5,,16,,,,6.3,,,,6.2,,,,,,5.9,
7,3363017,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,75.6,,,,80.3,,,,58.7,,,,,,17,,7.6,,,,7.5,,,,6.2,,,,,
9,3363012,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV1040006,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,82.8,,,,84.3,,,,68.4,,,,,,17,,8.3,,,,8,,,,6.7,,,,,
4,3363015,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,80.7,,,,84,,,,71.8,,,,,,16,,8.1,,,,7.6,,,,7.6,,,,,
8,3363018,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,74,,,,73.9,,,,61.2,,,,,,17,,6.9,,,,6.9,,,,6.3,,,,,
10,3363020,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,81.5,,,,87.2,,,,79.4,,,,,,17,,7.7,,,,8,,,,7.8,,,,,
6,3362994,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV1019010,REPLICATE>BLOCK:10,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,Yes,,,,78.9,,,,75.3,,,,,,73.3,,16,,,,6.2,,,,6.8,,,,,,6.1,
