observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
YCXGDTM1097021,3355813,Gra13,Biogemma Graneros 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1097021,,97,21,"REPLICATE>BLOCK>PLOT:YCXGDTM1097021,REPLICATE>BLOCK:16,REPLICATE:5",rainfed,2013,"-3,65230085580",,"77,2509816604",,2630.9348996574,,8.231127451,,312.8594117647,,"73,5986808046",,110,,200,,235,
YCXGDTM1069025,3355811,Gra13,Biogemma Graneros 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1069025,,69,25,"REPLICATE>BLOCK>PLOT:YCXGDTM1069025,REPLICATE>BLOCK:34,REPLICATE:4",rainfed,2013,"-2,28761449620",,"78,4192045197",,2260.2902688556,,7.4696078431,,330.4711764706,,"76,1315900235",,85,,180,,220,
YCXGDTM1096046,3355809,Gra13,Biogemma Graneros 2013,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1096046,,96,46,"REPLICATE>BLOCK>PLOT:YCXGDTM1096046,REPLICATE>BLOCK:15,REPLICATE:2",watered,2013,,,NA,,2940.0606980273,,9.1290441176,,310.5052941176,,NA,,145,,300,,345,
YCXGDTM1091049,3356590,Gra13,Biogemma Graneros 2013,127572,https://doi.org/10.15454/MNN3BT,Lo1038_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1091049,,91,49,"REPLICATE>BLOCK>PLOT:YCXGDTM1091049,REPLICATE>BLOCK:20,REPLICATE:2",watered,2013,,,NA,,3628.6286286286,,10.8892156863,,300.0917647059,,NA,,125,,290,,340,
YCXGDTM1094027,3356055,Gra13,Biogemma Graneros 2013,127474,https://doi.org/10.15454/GF4RQE,EP55_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1094027,,94,27,"REPLICATE>BLOCK>PLOT:YCXGDTM1094027,REPLICATE>BLOCK:43,REPLICATE:5",rainfed,2013,"-4,34738531190",,"73,5986808046",,2772.0914363698,,6.6035539216,,238.2155882353,,"69,2512954927",,95,,170,,210,
YCXGDTM1108032,3356593,Gra13,Biogemma Graneros 2013,127572,https://doi.org/10.15454/MNN3BT,Lo1038_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1108032,,108,32,"REPLICATE>BLOCK>PLOT:YCXGDTM1108032,REPLICATE>BLOCK:69,REPLICATE:5",rainfed,2013,"-3,65230085580",,"77,2509816604",,3306.8783068783,,9.5735294118,,289.5035294118,,"73,5986808046",,110,,245,,300,
YCXGDTM1080025,3356983,Gra13,Biogemma Graneros 2013,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1080025,,80,25,"REPLICATE>BLOCK>PLOT:YCXGDTM1080025,REPLICATE>BLOCK:36,REPLICATE:4",rainfed,2013,"-4,40087764140",,"72,2486439239",,2904.7250193648,,9.0772058824,,312.4979411765,,"67,8477662825",,80,,180,,220,
YCXGDTM1096029,3356999,Gra13,Biogemma Graneros 2013,127653,https://doi.org/10.15454/CHTSUF,NS501_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1096029,,96,29,"REPLICATE>BLOCK>PLOT:YCXGDTM1096029,REPLICATE>BLOCK:53,REPLICATE:5",rainfed,2013,"-4,40087764140",,"72,2486439239",,2664.0601042625,,7.0777573529,,265.6755882353,,"67,8477662825",,65,,155,,195,
YCXGDTM1080031,3355547,Gra13,Biogemma Graneros 2013,127405,https://doi.org/10.15454/FLE1RA,EZ47_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1080031,,80,31,"REPLICATE>BLOCK>PLOT:YCXGDTM1080031,REPLICATE>BLOCK:63,REPLICATE:4",rainfed,2013,"-2,82363232590",,"69,2512954927",,2077.1635406384,,4.9386029412,,237.7570588235,,"66,4276631668",,90,,185,,230,
YCXGDTM1069050,3356584,Gra13,Biogemma Graneros 2013,127571,https://doi.org/10.15454/PM06E7,Lo1035_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1069050,,69,50,"REPLICATE>BLOCK>PLOT:YCXGDTM1069050,REPLICATE>BLOCK:21,REPLICATE:1",watered,2013,,,NA,,3050.9065550907,,10.0496323529,,329.3982352941,,NA,,150,,295,,340,
YCXGDTM1085047,3355701,Gra13,Biogemma Graneros 2013,127423,https://doi.org/10.15454/M33T8W,LH38_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1085047,,85,47,"REPLICATE>BLOCK>PLOT:YCXGDTM1085047,REPLICATE>BLOCK:16,REPLICATE:2",watered,2013,,,NA,,3600.6289308176,,11.3798406863,,316.0514705882,,NA,,130,,270,,320,
YCXGDTM1055023,3356586,Gra13,Biogemma Graneros 2013,127571,https://doi.org/10.15454/PM06E7,Lo1035_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1055023,,55,23,"REPLICATE>BLOCK>PLOT:YCXGDTM1055023,REPLICATE>BLOCK:26,REPLICATE:3",rainfed,2013,"-5,00233773650",,"77,2509816604",,2752.1761392729,,8.3049019608,,301.7576470588,,"72,2486439239",,110,,195,,240,
YCXGDTM1096022,3355974,Gra13,Biogemma Graneros 2013,127462,https://doi.org/10.15454/WFMW08,W602S_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1096022,,96,22,"REPLICATE>BLOCK>PLOT:YCXGDTM1096022,REPLICATE>BLOCK:21,REPLICATE:5",rainfed,2013,"-4,32461366720",,"70,752276834",,2872.3404255319,,8.0602941176,,280.6176470588,,"66,4276631668",,100,,195,,240,
YCXGDTM1110020,3356588,Gra13,Biogemma Graneros 2013,127571,https://doi.org/10.15454/PM06E7,Lo1035_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1110020,,110,20,"REPLICATE>BLOCK>PLOT:YCXGDTM1110020,REPLICATE>BLOCK:14,REPLICATE:5",rainfed,2013,"-3,65230085580",,"77,2509816604",,3303.1988873435,,10.7014705882,,323.9729411765,,"73,5986808046",,120,,275,,325,
YCXGDTM1081048,3356405,Gra13,Biogemma Graneros 2013,127536,https://doi.org/10.15454/ML81EC,F7019_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1081048,,81,48,"REPLICATE>BLOCK>PLOT:YCXGDTM1081048,REPLICATE>BLOCK:17,REPLICATE:2",watered,2013,,,NA,,3284.2356687898,,10.0091911765,,304.7647058824,,NA,,145,,295,,350,
YCXGDTM1077043,3356404,Gra13,Biogemma Graneros 2013,127536,https://doi.org/10.15454/ML81EC,F7019_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1077043,,77,43,"REPLICATE>BLOCK>PLOT:YCXGDTM1077043,REPLICATE>BLOCK:11,REPLICATE:1",watered,2013,,,NA,,3528.6569717707,,9.9,,280.56,,NA,,135,,265,,310,
YCXGDTM1074039,3356578,Gra13,Biogemma Graneros 2013,127570,https://doi.org/10.15454/JBNGJT,Lo1026_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1074039,,74,39,"REPLICATE>BLOCK>PLOT:YCXGDTM1074039,REPLICATE>BLOCK:5,REPLICATE:1",watered,2013,,,NA,,3252.1017950466,,10.4537377451,,321.4455882353,,NA,,135,,270,,330,
YCXGDTM1090041,3356579,Gra13,Biogemma Graneros 2013,127570,https://doi.org/10.15454/JBNGJT,Lo1026_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1090041,,90,41,"REPLICATE>BLOCK>PLOT:YCXGDTM1090041,REPLICATE>BLOCK:7,REPLICATE:2",watered,2013,,,NA,,4400.7120253165,,12.6628676471,,287.7458823529,,NA,,120,,280,,335,
YCXGDTM1050022,3356580,Gra13,Biogemma Graneros 2013,127570,https://doi.org/10.15454/JBNGJT,Lo1026_H,REPLICATE>BLOCK>PLOT,,,YCXGDTM1050022,,50,22,"REPLICATE>BLOCK>PLOT:YCXGDTM1050022,REPLICATE>BLOCK:21,REPLICATE:3",rainfed,2013,"-4,17024108940",,"74,9225179234",,2175.2450980392,,6.5083333333,,299.2,,"70,752276834",,100,,175,,200,
