observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
9,3359917,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,91,,,,87,,,,,,,,73,,16,,,,7.5,,,,7,,,,,,,,7,
1,3359909,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,90,,,,87,,,,,,,,82,,16,,,,9,,,,8,,,,,,,,7.5,
3,3359950,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402110,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,92,,,,79,,,,,,,,86,,16,,,,8.5,,,,8,,,,,,,,7,
7,3359920,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,83,,,,92,,,,81,,,,,,,,17,,8,,,,8.5,,,,7.5,,,,,,,
7,3359965,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,84,,,,,,,,89,,,,15,,8.5,,,,8,,,,,,,,8,,,
4,3359913,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,90,,,,81,,,,,,,,81,,16,,,,9,,,,8,,,,,,,,8,
1,3359958,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,90,,,,86,,,,,,,,84,,,,16,,8.5,,,,8,,,,,,,,7,,,
7,3360001,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,92,,,,88,,,,,,,,82,,,,16,,9,,,,8.5,,,,,,,,7.5,,,
8,3359916,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400839,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,Yes,,,,89,,,,78,,,,,,,,78,,16,,,,9,,,,7.5,,,,,,,,7.5,
9,3359966,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,91,,,,86,,,,,,,,78,,,,15,,8,,,,8,,,,,,,,7,,,
4,3360004,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,89,,,,79,,,,,,,,85,,16,,,,8.5,,,,8,,,,,,,,7.5,
1,3359996,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,91,,,,88,,,,,,,,79,,,,15,,8.5,,,,8,,,,,,,,7,,,
