observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
10,3360002,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402622,REPLICATE>BLOCK:20,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,,,92,,,,87,,,,,,,,83,,,,16,,9,,,,9,,,,,,,,7.5,,,
3,3359926,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,85,,,,,,,,85,,16,,,,8,,,,8,,,,,,,,6.5,
4,3359929,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,83,,,,93,,,,79,,,,,,,,16,,8,,,,9,,,,7,,,,,,,
10,3359967,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,91,,,,87,,,,,,,,83,,,,15,,9,,,,9,,,,,,,,7.5,,,
3,3359968,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,92,,,,85,,,,,,,,86,,16,,,,9,,,,8,,,,,,,,7,
6,3359930,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,82,,,,87,,,,83,,,,,,,,17,,8,,,,9,,,,8,,,,,,,
9,3359928,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,89,,,,84,,,,,,,,82,,16,,,,9,,,,8,,,,,,,,7.5,
2,3359962,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,84,,,,,,,,80,,,,15,,8.5,,,,8.5,,,,,,,,7.5,,,
5,3359933,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,92,,,,68,,,,,,17,,,,9,,,,8.5,,,,7,,,,,
2,3359925,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,92,,,,82,,,,,,,,86,,17,,,,8.5,,,,7,,,,,,,,7.5,
8,3359927,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,94,,,,89,,,,,,,,87,,16,,,,9.5,,,,9,,,,,,,,7.5,
10,3359932,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,91,,,,93,,,,82,,,,,,,,17,,8,,,,8.5,,,,7.5,,,,,,,
2,3359946,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402110,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,92,,,,79,,,,,,,,82,,15,,,,8,,,,7.5,,,,,,,,7,
8,3359970,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,91,,,,78,,,,,,,,91,,16,,,,9,,,,7,,,,,,,,8,
1,3359921,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,88,,,,80,,,,,,,,82,,,,15,,9.5,,,,8,,,,,,,,7.5,,,
5,3359980,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,90,,,,81,,,,,,,,79,,16,,,,8,,,,7,,,,,,,,7,
7,3359931,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400867,REPLICATE>BLOCK:25,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,89,,,,91,,,,81,,,,,,,,16,,8,,,,7,,,,7.5,,,,,,,
4,3359963,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402229,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,97,,,,89,,,,,,,,91,,,,15,,9,,,,8.5,,,,,,,,7.5,,,
10,3359908,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,91,,,,91,,,,78,,,,,,,,17,,7.5,,,,8.5,,,,6.5,,,,,,,
5,3359952,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402110,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,91,,,,80,,,,,,,,80,,16,,,,8.5,,,,7,,,,,,,,7.5,
8,3359905,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,96,,,,89,,,,,,,,86,,16,,,,8.5,,,,8,,,,,,,,7,
9,3359982,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,87,,,,80,,,,,,,,87,,15,,,,8.5,,,,7,,,,,,,,8,
3,3359901,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,78,,,,,,,,84,,16,,,,8.5,,,,7.5,,,,,,,,7,
1,3359971,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,95,,,,79,,,,,,,,87,,,,15,,8,,,,7.5,,,,,,,,7.5,,,
6,3359906,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,86,,,,89,,,,81,,,,,,,,17,,7,,,,8.5,,,,7,,,,,,,
7,3359977,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,90,,,,,,,,81,,,,15,,8.5,,,,8,,,,,,,,7.5,,,
9,3359907,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,92,,,,94,,,,82,,,,,,,,17,,7,,,,9,,,,7,,,,,,,
5,3359903,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,94,,,,88,,,,,,,,84,,16,,,,9,,,,8,,,,,,,,7,
2,3359900,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,83,,,,,,,,90,,16,,,,9.5,,,,8,,,,,,,,7,
4,3359976,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,91,,,,81,,,,,,,,81,,,,15,,9,,,,8,,,,,,,,8,,,
4,3359902,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,90,,,,88,,,,,,,,84,,16,,,,9.5,,,,8.5,,,,,,,,7.5,
1,3359896,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,98,,,,87,,,,,,,,89,,17,,,,9,,,,8.5,,,,,,,,7,
8,3359978,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,84,,,,,,,,84,,,,16,,9,,,,8.5,,,,,,,,7.5,,,
7,3359904,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:400643,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2013,,,,,94,,,,88,,,,,,,,83,,16,,,,9,,,,8,,,,,,,,7,
6,3359981,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,,,92,,,,81,,,,,,,,90,,16,,,,9,,,,8,,,,,,,,8,
10,3359979,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,91,,,,86,,,,,,,,84,,,,15,,9.5,,,,7,,,,,,,,7.5,,,
2,3359974,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,88,,,,82,,,,,,,,84,,,,15,,9.5,,,,8,,,,,,,,8,,,
3,3359975,Mur13,KWS Murony 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:402408,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92,,,,81,,,,,,,,83,,,,15,,8.5,,,,7,,,,,,,,7,,,
