,biological_material_id,organism,genus,species,subsp,cvar,var,accession_number,accession_name,organization,material_source_id,material_source_doi
0,3001,,Zea,mays,,,B73,B73_H,B73_H,INRAE,B73_H:INRAE,https://doi.org/10.15454/P5UIAJ
1,3002,,Zea,mays,,,PH207,PH207_H,PH207_H,INRAE,PH207_H:INRAE,https://doi.org/10.15454/AQWE02
2,3003,,Zea,mays,,,Oh43,Oh43_H,Oh43_H,INRAE,Oh43_H:INRAE,https://doi.org/10.15454/5GN11W
3,3004,,Zea,mays,,,W64A,W64A_H,W64A_H,INRAE,W64A_H:INRAE,https://doi.org/10.15454/EW2AP2
4,3005,,Zea,mays,,,Oh33,Oh33_H,Oh33_H,INRAE,Oh33_H:INRAE,https://doi.org/10.15454/YLEAQG
5,3006,,Zea,mays,,,EZ47,EZ47_H,EZ47_H,INRAE,EZ47_H:INRAE,https://doi.org/10.15454/FLE1RA
6,3007,,Zea,mays,,,MS153,MS153_H,MS153_H,INRAE,MS153_H:INRAE,https://doi.org/10.15454/NPJBWJ
7,3008,,Zea,mays,,,A310,A310_H,A310_H,INRAE,A310_H:INRAE,https://doi.org/10.15454/GAHOFA
8,3009,,Zea,mays,,,B84,B84_H,B84_H,INRAE,B84_H:INRAE,https://doi.org/10.15454/MN1MDA
9,3010,,Zea,mays,,,F894,F894_H,F894_H,INRAE,F894_H:INRAE,https://doi.org/10.15454/WBSYN7
10,3011,,Zea,mays,,,F912,F912_H,F912_H,INRAE,F912_H:INRAE,https://doi.org/10.15454/ZJPT9Q
11,3012,,Zea,mays,,,B105,B105_H,B105_H,INRAE,B105_H:INRAE,https://doi.org/10.15454/KIHXDG
12,3013,,Zea,mays,,,A347,A347_H,A347_H,INRAE,A347_H:INRAE,https://doi.org/10.15454/CNJTVT
13,3014,,Zea,mays,,,EP52,EP52_H,EP52_H,INRAE,EP52_H:INRAE,https://doi.org/10.15454/JBBAWF
14,3015,,Zea,mays,,,F7028,F7028_H,F7028_H,INRAE,F7028_H:INRAE,https://doi.org/10.15454/X2ENCA
15,3016,,Zea,mays,,,F1890,F1890_H,F1890_H,INRAE,F1890_H:INRAE,https://doi.org/10.15454/DPMMOI
