observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
2,3364575,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,2013,,,95,,,,90.5,,,,,,79,,,,15,,9.5,,,,10.5,,,,,,9,,,
9,3364593,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,92.5,,,,81,,,,,,89,,16,,,,10,,,,9,,,,,,10,
6,3364591,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,2013,,,,,96,,,,77,,,,,,90,,16,,,,9,,,,8.5,,,,,,9,
1,3364500,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,2013,,,,,94,,,,82,,,,,,82,,16,,,,9,,,,8,,,,,,8,
10,3364567,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401698,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,2013,Yes,,92.5,,,,85,,,,,,80,,,,15,,10,,,,10,,,,,,9,,,
4,3364503,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,2013,,,,,100,,,,72,,,,,,81,,16,,,,9,,,,8.5,,,,,,8.5,
2,3364501,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,2013,,,,,93,,,,85,,,,,,85,,16,,,,9.5,,,,9.5,,,,,,8.5,
6,3364540,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,2013,,,89,,,,85,,,,,,68,,,,14,,10,,,,9.5,,,,,,7,,,
3,3364471,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400129,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2",watered,2013,Yes,,90,,,,76,,,,,,84,,,,15,,9.5,,,,8.5,,,,,,7.5,,,
9,3364506,Deb13,Syngenta Debrecen 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,2013,,,,,96,,,,81,,,,,,89,,16,,,,10,,,,8.5,,,,,,9.5,
