observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,ASI_D20deg(MIPO:0000026),ASI_D20deg(MIPO:0000026).date,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,ear_height(MIPO:0000007),ear_height(MIPO:0000007).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
400064,3359433,Kar13,KWS Karlsruhe 2013,127549,https://doi.org/10.15454/B39W9G,H99_H,REPLICATE>BLOCK>PLOT,,,400064,,4,8,"REPLICATE>BLOCK>PLOT:400064,REPLICATE>BLOCK:12,REPLICATE:1",watered,2013,"0,00000000000",,"64,2677005306",,2764.5051194539,,6.7334823529,,243.5691764706,,"64,2677005306",,125,,215,,265,
401898,3359275,Kar13,KWS Karlsruhe 2013,127549,https://doi.org/10.15454/B39W9G,H99_H,REPLICATE>BLOCK>PLOT,,,401898,,13,50,"REPLICATE>BLOCK>PLOT:401898,REPLICATE>BLOCK:26,REPLICATE:3",rainfed,2013,"0,00000000000",,"67,2869986061",,3287.9105520615,,8.3890457516,,255.1482352941,,"67,2869986061",,110,,235,,285,
401655,3359016,Kar13,KWS Karlsruhe 2013,127549,https://doi.org/10.15454/B39W9G,H99_H,REPLICATE>BLOCK>PLOT,,,401655,,9,23,"REPLICATE>BLOCK>PLOT:401655,REPLICATE>BLOCK:17,REPLICATE:2",rainfed,2013,"0,00000000000",,"67,2869986061",,3214.019388516,,7.7456052288,,240.9943529412,,"67,2869986061",,105,,240,,280,
401310,3358648,Kar13,KWS Karlsruhe 2013,127549,https://doi.org/10.15454/B39W9G,H99_H,REPLICATE>BLOCK>PLOT,,,401310,,3,2,"REPLICATE>BLOCK>PLOT:401310,REPLICATE>BLOCK:5,REPLICATE:1",rainfed,2013,"1,50155822000",,"64,2677005306",,2723.1040564374,,6.8904784314,,253.0376470588,,"65,7692587506",,110,,240,,280,
401673,3359035,Kar13,KWS Karlsruhe 2013,127414,https://doi.org/10.15454/X2ENCA,F7028_H,REPLICATE>BLOCK>PLOT,,,401673,,9,41,"REPLICATE>BLOCK>PLOT:401673,REPLICATE>BLOCK:17,REPLICATE:3",rainfed,2013,"0,00000000000",,"67,2869986061",,4490.9167722856,,9.9935895425,,222.5289411765,,"67,2869986061",,115,,225,,280,
401222,3358550,Kar13,KWS Karlsruhe 2013,127476,https://doi.org/10.15454/KOKHG9,ML606_H,REPLICATE>BLOCK>PLOT,,,401222,,1,22,"REPLICATE>BLOCK>PLOT:401222,REPLICATE>BLOCK:1,REPLICATE:2",rainfed,2013,"0,00000000000",,"67,2869986061",,3799.2831541219,,9.5580130719,,251.5741176471,,"67,2869986061",,140,,250,,300,
400342,3359733,Kar13,KWS Karlsruhe 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,REPLICATE>BLOCK>PLOT,,,400342,,14,6,"REPLICATE>BLOCK>PLOT:400342,REPLICATE>BLOCK:4,REPLICATE:2",watered,2013,"1,50155822000",,"64,2677005306",,2032.3685029567,,6.149296732,,302.568,,"65,7692587506",,150,,255,,310,
400192,3359544,Kar13,KWS Karlsruhe 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,REPLICATE>BLOCK>PLOT,,,400192,,7,24,"REPLICATE>BLOCK>PLOT:400192,REPLICATE>BLOCK:34,REPLICATE:1",watered,2013,"1,50155822000",,"64,2677005306",,2679.186228482,,7.902054902,,294.9423529412,,"65,7692587506",,140,,260,,305,
401675,3359037,Kar13,KWS Karlsruhe 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,REPLICATE>BLOCK>PLOT,,,401675,,9,43,"REPLICATE>BLOCK>PLOT:401675,REPLICATE>BLOCK:17,REPLICATE:3",rainfed,2013,"1,51773985550",,"65,7692587506",,3844.2061364313,,11.5082235294,,299.3654117647,,"67,2869986061",,125,,250,,305,
401279,3358614,Kar13,KWS Karlsruhe 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,REPLICATE>BLOCK>PLOT,,,401279,,2,30,"REPLICATE>BLOCK>PLOT:401279,REPLICATE>BLOCK:4,REPLICATE:2",rainfed,2013,"1,53300051630",,"62,7347000143",,3220.079583716,,9.6976522876,,301.1618823529,,"64,2677005306",,140,,270,,330,
401432,3358775,Kar13,KWS Karlsruhe 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,REPLICATE>BLOCK>PLOT,,,401432,,5,16,"REPLICATE>BLOCK>PLOT:401432,REPLICATE>BLOCK:10,REPLICATE:1",rainfed,2013,"0,00000000000",,"67,2869986061",,3853.9215686275,,10.5165811765,,272.88,,"67,2869986061",,120,,255,,315,
401943,3359321,Kar13,KWS Karlsruhe 2013,127476,https://doi.org/10.15454/KOKHG9,ML606_H,REPLICATE>BLOCK>PLOT,,,401943,,14,14,"REPLICATE>BLOCK>PLOT:401943,REPLICATE>BLOCK:28,REPLICATE:1",rainfed,2013,"-1,50155822000",,"65,7692587506",,4185.303514377,,10.5647647059,,252.4252941176,,"64,2677005306",,132,,270,,310,
401388,3358732,Kar13,KWS Karlsruhe 2013,127414,https://doi.org/10.15454/X2ENCA,F7028_H,REPLICATE>BLOCK>PLOT,,,401388,,4,29,"REPLICATE>BLOCK>PLOT:401388,REPLICATE>BLOCK:8,REPLICATE:2",rainfed,2013,"-7,68024318310",,"71,9479437137",,3681.0856658185,,8.282875817,,225.0117647059,,"64,2677005306",,130,,240,,295,
400323,3359712,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,REPLICATE>BLOCK>PLOT,,,400323,,13,14,"REPLICATE>BLOCK>PLOT:400323,REPLICATE>BLOCK:12,REPLICATE:2",watered,2013,"1,50155822000",,"64,2677005306",,3528.2051282051,,9.6414431373,,273.2676470588,,"65,7692587506",,130,,235,,290,
400169,3359519,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,REPLICATE>BLOCK>PLOT,,,400169,,7,1,"REPLICATE>BLOCK>PLOT:400169,REPLICATE>BLOCK:7,REPLICATE:1",watered,2013,"-6,33446404140",,"75,0251852667",,2392.5925925926,,5.7228,,239.1882352941,,"68,6907212253",,100,,165,,195,
401583,3358939,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,REPLICATE>BLOCK>PLOT,,,401583,,8,50,"REPLICATE>BLOCK>PLOT:401583,REPLICATE>BLOCK:16,REPLICATE:3",rainfed,2013,"-1,63717628050",,"71,9479437137",,3561.9864237228,,8.8426732026,,248.2511764706,,"70,3107674332",,115,,230,,285,
401225,3358553,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,REPLICATE>BLOCK>PLOT,,,401225,,1,25,"REPLICATE>BLOCK>PLOT:401225,REPLICATE>BLOCK:1,REPLICATE:2",rainfed,2013,"3,03455873630",,"62,7347000143",,3343.685300207,,8.9262,,266.9569411765,,"65,7692587506",,125,,240,,295,
401404,3358749,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,REPLICATE>BLOCK>PLOT,,,401404,,4,13,"REPLICATE>BLOCK>PLOT:401404,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,2013,"3,10866257400",,"61,1590379566",,3312.5,,8.7169411765,,263.1529411765,,"64,2677005306",,135,,255,,305,
400366,3359756,Kar13,KWS Karlsruhe 2013,127434,https://doi.org/10.15454/LLQDYK,EP2008-18_H,REPLICATE>BLOCK>PLOT,,,400366,,14,27,"REPLICATE>BLOCK>PLOT:400366,REPLICATE>BLOCK:32,REPLICATE:2",watered,2013,"1,50155822000",,"64,2677005306",,2855.5917480999,,7.2257960784,,253.0402352941,,"65,7692587506",,135,,240,,295,
400269,3359623,Kar13,KWS Karlsruhe 2013,127477,https://doi.org/10.15454/WMRRM7,DKFBHJ_H,REPLICATE>BLOCK>PLOT,,,400269,,10,12,"REPLICATE>BLOCK>PLOT:400269,REPLICATE>BLOCK:10,REPLICATE:2",watered,2013,"0,00000000000",,"65,7692587506",,3059.1630591631,,8.2272627451,,268.9383529412,,"65,7692587506",,145,,260,,285,
400415,3359784,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,REPLICATE>BLOCK>PLOT,,,400415,,15,23,"REPLICATE>BLOCK>PLOT:400415,REPLICATE>BLOCK:33,REPLICATE:2",watered,2013,"1,53300051630",,"62,7347000143",,2580.4311774461,,7.5247346405,,291.6076470588,,"64,2677005306",,130,,225,,270,
400038,3359382,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,REPLICATE>BLOCK>PLOT,,,400038,,2,19,"REPLICATE>BLOCK>PLOT:400038,REPLICATE>BLOCK:20,REPLICATE:1",watered,2013,"1,57566205770",,"61,1590379566",,2513.9664804469,,7.8215294118,,311.1230588235,,"62,7347000143",,135,,240,,275,
401701,3359065,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,REPLICATE>BLOCK>PLOT,,,401701,,10,40,"REPLICATE>BLOCK>PLOT:401701,REPLICATE>BLOCK:19,REPLICATE:3",rainfed,2013,"3,10866257400",,"61,1590379566",,2767.238783499,,8.7250941176,,315.2996470588,,"64,2677005306",,145,,260,,310,
401337,3358678,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,REPLICATE>BLOCK>PLOT,,,401337,,3,29,"REPLICATE>BLOCK>PLOT:401337,REPLICATE>BLOCK:6,REPLICATE:2",rainfed,2013,"3,10866257400",,"61,1590379566",,2821.9696969697,,8.4106117647,,298.0404705882,,"64,2677005306",,135,,255,,300,
401422,3358763,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,REPLICATE>BLOCK>PLOT,,,401422,,5,6,"REPLICATE>BLOCK>PLOT:401422,REPLICATE>BLOCK:9,REPLICATE:1",rainfed,2013,"0,00000000000",,"73,4717169888",,3152.7777777778,,8.487604183,,269.2103529412,,"73,4717169888",,100,,195,,245,
400085,3359456,Kar13,KWS Karlsruhe 2013,127477,https://doi.org/10.15454/WMRRM7,DKFBHJ_H,REPLICATE>BLOCK>PLOT,,,400085,,4,28,"REPLICATE>BLOCK>PLOT:400085,REPLICATE>BLOCK:31,REPLICATE:1",watered,2013,"1,53300051630",,"62,7347000143",,2917.4503657262,,8.1274572549,,278.5808235294,,"64,2677005306",,140,,260,,290,
400070,3359440,Kar13,KWS Karlsruhe 2013,127434,https://doi.org/10.15454/LLQDYK,EP2008-18_H,REPLICATE>BLOCK>PLOT,,,400070,,4,14,"REPLICATE>BLOCK>PLOT:400070,REPLICATE>BLOCK:12,REPLICATE:1",watered,2013,"1,53300051630",,"62,7347000143",,2897.4622770919,,7.8249888889,,270.0635294118,,"64,2677005306",,135,,240,,280,
