observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3146water_regimerainfed,3339479,Mar13,MTA_ATK Martonvasar 2013,127540,https://doi.org/10.15454/DU6APM,F752_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,194.7795536548,,316.3165138584,,2689.5669650051,,71.8756717594,,73.7886973015,,-166.0575356181,,-195.3234440226,,269.346,,1173.688,,236.666,,32.3226149075,,30.7507029932,,33.9236665607,,17.1684111111,,16.3131972503,,17.8137681159,,226.1041120167,,83.6192494682,
3207water_regimewatered,3339783,Mar13,MTA_ATK Martonvasar 2013,127601,https://doi.org/10.15454/YL5R4U,Lo1290_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,262.4596913489,,341.3765487754,,3731.9376812009,,72.3202643765,,72.2809054108,,-94.9980633243,,-110.8681214361,,266.271,,1212.951,,211.294,,32.0990879072,,30.938950204,,33.7556338487,,17.0269907407,,16.5486349607,,17.675,,295.3965467084,,137.9832041194,
3209water_regimewatered,3339785,Mar13,MTA_ATK Martonvasar 2013,127603,https://doi.org/10.15454/1ZCMBD,Lo1301_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,244.2868336961,,325.7649301217,,3854.8783043828,,69.5430686065,,71.0196407117,,-93.7203413598,,-114.6602861736,,284.731,,1238.775,,239.446,,32.0727221748,,31.1176476499,,34.0325649583,,17.0717628205,,16.7807617845,,17.7791666667,,276.1211640578,,97.1119350133,
3210water_regimewatered,3339786,Mar13,MTA_ATK Martonvasar 2013,127604,https://doi.org/10.15454/WAG6NL,Lo904_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,245.0603590231,,321.2347563384,,3801.7588610358,,69.5989594613,,70.9598154409,,-93.7203413598,,-111.9712962685,,226.16,,1224.884,,239.446,,32.3074397376,,31.1176476499,,33.542215728,,17.2521376812,,16.7807617845,,17.5065217391,,271.7424777845,,114.4132345399,
3076water_regimewatered,3339658,Mar13,MTA_ATK Martonvasar 2013,127472,https://doi.org/10.15454/SP8JD0,EP51_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,242.3069295098,,323.2567744889,,2215.5020258626,,60.6850022248,,64.7051447544,,-97.8576670571,,-108.5017134934,,226.16,,1323.507,,284.553,,32.3074397376,,32.1609874425,,33.2032352731,,17.2521376812,,18.0424808693,,16.9134502924,,275.47017548,,101.2216270873,
3076water_regimerainfed,3339412,Mar13,MTA_ATK Martonvasar 2013,127472,https://doi.org/10.15454/SP8JD0,EP51_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,184.4833174908,,276.4204414724,,1832.2458944851,,61.8021492465,,71.551126023,,-166.6692698876,,-189.3545151602,,226.16,,1199.06,,409,,32.3074397376,,30.9739449642,,33.6507584747,,17.2521376812,,16.7284660895,,17.5525462963,,211.2485290185,,77.3773681416,
3213water_regimerainfed,3339543,Mar13,MTA_ATK Martonvasar 2013,127607,https://doi.org/10.15454/7CWQV7,N192_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,196.2659421011,,309.6509493175,,2635.0930878038,,68.4207211578,,68.039495113,,-169.9349807939,,-175.8900057318,,171.078,,1262.005,,215.804,,32.175278563,,31.4982577387,,33.5764698672,,17.2716161616,,17.394007215,,17.4293981481,,228.8888870651,,77.6760887346,
3029water_regimerainfed,3339369,Mar13,MTA_ATK Martonvasar 2013,127428,https://doi.org/10.15454/4W8MAU,B104_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,240.9363932994,,371.5021334814,,2262.3676446001,,68.9622833391,,71.253811672,,-166.6692698876,,-191.5522814681,,249.226,,1212.951,,292.64,,32.4289390289,,30.9739449642,,33.582381768,,17.2268171296,,16.7284660895,,17.5920289855,,271.5440434008,,124.9572424654,
3077water_regimerainfed,3339413,Mar13,MTA_ATK Martonvasar 2013,127473,https://doi.org/10.15454/WZXITF,PHH93_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,222.3121124477,,292.569251831,,2856.6033238002,,63.5255983652,,66.2365123878,,-170.4097010269,,-182.1534197861,,228.449,,1270.71,,260.859,,32.429509429,,31.8134872521,,33.4545774209,,17.3405902778,,17.5440389186,,17.3152777778,,247.2603201008,,114.2759308821,
3079water_regimewatered,3339661,Mar13,MTA_ATK Martonvasar 2013,127475,https://doi.org/10.15454/T3WOSC,B98_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,280.6079638251,,328.6988233269,,2588.0052182391,,71.322073719,,70.3198746768,,-93.7577279961,,-113.0048176407,,249.226,,1224.884,,212.517,,32.4289390289,,31.1753947275,,33.465797228,,17.2268171296,,16.9531991342,,17.5457070707,,311.1708076418,,135.4592999922,
3008water_regimewatered,3339594,Mar13,MTA_ATK Martonvasar 2013,127407,https://doi.org/10.15454/GAHOFA,A310_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,282.7898153425,,347.5538358085,,2687.4083312021,,69.6279465446,,67.6160685175,,-94.8521318956,,-116.6374978175,,300.426,,1262.005,,188.434,,31.5311777121,,31.6608951613,,34.1479635172,,16.6974666667,,17.5050609031,,17.8336601307,,313.9831334494,,138.9373259196,
3007water_regimewatered,3339593,Mar13,MTA_ATK Martonvasar 2013,127406,https://doi.org/10.15454/NPJBWJ,MS153_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,258.4579818896,,371.0005504437,,2838.5788559606,,67.691788588,,67.5657381439,,-94.8521318956,,-111.194867147,,206.799,,1275.896,,215.804,,32.353323651,,31.6608951613,,33.4353285591,,17.3491183575,,17.5050609031,,17.3472222222,,289.1112944824,,117.4134631312,
3005water_regimerainfed,3339345,Mar13,MTA_ATK Martonvasar 2013,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,226.6363953873,,305.9838749532,,1978.1910004672,,66.5666261286,,72.0526090421,,-167.2929686522,,-186.9003611815,,206.799,,1171.278,,316.879,,32.353323651,,30.938950204,,33.6719994286,,17.3491183575,,16.5486349607,,17.5362222222,,255.2157349128,,88.926210154,
3008water_regimerainfed,3339348,Mar13,MTA_ATK Martonvasar 2013,127407,https://doi.org/10.15454/GAHOFA,A310_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,213.1464206277,,331.7436098247,,1771.445957116,,69.6531913085,,70.2672566305,,-167.8591520174,,-195.7794014731,,300.426,,1224.884,,239.446,,31.5311777121,,31.1753947275,,34.2416260822,,16.6974666667,,16.9531991342,,17.964619883,,238.6383333091,,103.0708815956,
3080water_regimerainfed,3339416,Mar13,MTA_ATK Martonvasar 2013,127476,https://doi.org/10.15454/KOKHG9,ML606_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,218.2377096985,,309.1527392167,,2680.4404327893,,65.597373643,,69.9117427324,,-167.2160194075,,-185.0618000856,,206.799,,1224.884,,314.936,,32.353323651,,31.222069674,,33.5688643362,,17.3491183575,,17.1111809269,,17.4914351852,,248.038762011,,94.3174389903,
3021water_regimewatered,3339607,Mar13,MTA_ATK Martonvasar 2013,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,243.6918218551,,329.3797942967,,3388.4597173824,,69.6088066195,,69.6455417858,,-93.8334133558,,-114.6602861736,,281.656,,1224.884,,239.446,,31.8481405452,,31.222069674,,34.0325649583,,16.9321333333,,17.1111809269,,17.7791666667,,273.2834850107,,109.4066877839,
3223water_regimerainfed,3339553,Mar13,MTA_ATK Martonvasar 2013,127617,https://doi.org/10.15454/7TOVKA,PHG35_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,244.1931023023,,354.6172275252,,2550.3984261682,,71.1533495728,,72.0133206166,,-167.2929686522,,-193.5772647958,,266.271,,1199.06,,238.341,,32.0990879072,,30.938950204,,33.7556338487,,17.0269907407,,16.5486349607,,17.675,,270.8993425806,,108.9693997672,
3223water_regimewatered,3339799,Mar13,MTA_ATK Martonvasar 2013,127617,https://doi.org/10.15454/7TOVKA,PHG35_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,253.16401671,,383.6239412833,,2989.2972737734,,69.64146822,,70.9873351593,,-93.7203413598,,-113.8798237213,,266.271,,1224.884,,239.446,,32.0990879072,,31.1176476499,,33.641747763,,17.0269907407,,16.7807617845,,17.6304232804,,281.9711053203,,140.0237310776,
3081water_regimewatered,3339663,Mar13,MTA_ATK Martonvasar 2013,127477,https://doi.org/10.15454/WMRRM7,DKFBHJ_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,234.1341174598,,312.3248178054,,3002.9658657199,,70.958218627,,72.3947292626,,-94.9980633243,,-109.290091151,,226.16,,1185.169,,238.341,,32.3074397376,,30.938950204,,33.6507584747,,17.2521376812,,16.5486349607,,17.5525462963,,265.7225419329,,104.3350601494,
3081water_regimerainfed,3339417,Mar13,MTA_ATK Martonvasar 2013,127477,https://doi.org/10.15454/WMRRM7,DKFBHJ_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,206.2354821691,,341.22061232,,2226.5536227142,,69.2678215221,,73.9807029329,,-166.6550037724,,-191.1299100344,,226.16,,1173.688,,290.642,,32.3074397376,,30.4677529223,,33.8095435848,,17.2521376812,,16.2211943762,,17.6851111111,,235.9377081198,,89.0295076853,
3226water_regimerainfed,3339556,Mar13,MTA_ATK Martonvasar 2013,127620,https://doi.org/10.15454/30LETM,PHG80_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,200.0520155932,,350.1142262559,,2409.9871735604,,72.8422024431,,72.6785078056,,-165.3944995561,,-199.2654210707,,300.426,,1173.688,,236.666,,31.5311777121,,30.748052032,,34.4932630207,,16.6974666667,,16.4252626263,,18.1335978836,,223.5291956483,,93.3538749071,
