observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3171water_regimewatered,3334946,Cam12,Syngenta Campagnola 2012,127565,https://doi.org/10.15454/WNQFKH,LH39_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,180.455922143,,655.3278312361,,68.0187238675,,72.9370371683,,-18.8888888889,,-26,,49.762,,1244.643,,299.767,,36.0860302343,,33.9345049241,,36.7159198849,,19.8147643067,,19.2652301985,,20.748437592,,209.3785409544,,94.5573150865,
3060water_regimewatered,3334843,Cam12,Syngenta Campagnola 2012,127459,https://doi.org/10.15454/DTTZ23,LH145_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,186.6784092392,,1297.7698538328,,68.9241142401,,70.526928315,,-18.3666666667,,-28.5555555556,,58.039,,1297.552,,246.858,,36.2183065647,,33.9509766088,,36.8299282199,,19.88559752,,19.2924537802,,20.7759505965,,229.4187210542,,99.7342616127,
3170water_regimerainfed,3334699,Cam12,Syngenta Campagnola 2012,127564,https://doi.org/10.15454/LYOFZO,LH123Ht_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,139.8003470004,,701.3648329658,,73.5566829822,,85.3857389537,,-12.8395061728,,-78.5333333333,,77.885,,1068.165,,425.663,,36.6159487209,,33.2635717963,,36.4605752221,,20.246567466,,19.1179535785,,20.3147849215,,170.7304000333,,76.3377888413,
3168water_regimerainfed,3334697,Cam12,Syngenta Campagnola 2012,127562,https://doi.org/10.15454/GVPFQE,I267_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,133.5274771216,,514.4583667023,,75.5632120378,,84.7060918938,,-12.9575757576,,-79.6866666667,,125.24,,1067.157,,356.943,,37.0483366126,,33.573198829,,36.5113133771,,20.9305602872,,19.2511444702,,19.8439122729,,169.6480574668,,76.7896279122,
3080water_regimerainfed,3334614,Cam12,Syngenta Campagnola 2012,127476,https://doi.org/10.15454/KOKHG9,ML606_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,142.7447036087,,1014.1376437904,,71.4114418938,,83.1041023031,,-13.056547619,,-82.4597701149,,67.73,,1113.935,,403.58,,36.4726920779,,33.3690868908,,36.5559911621,,20.0961815536,,19.2251948183,,20.2657147619,,176.9057429838,,80.4995217631,
3167water_regimerainfed,3334696,Cam12,Syngenta Campagnola 2012,127561,https://doi.org/10.15454/GILEFF,I261_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,112.4480649831,,482.7511648295,,70.8684657429,,86.6166891886,,-12.8395061728,,-78.3602150538,,67.73,,1068.165,,449.35,,36.4726920779,,33.2635717963,,36.5580109112,,20.0961815536,,19.1179535785,,20.4096075277,,144.1421604638,,60.3822436862,
3011water_regimerainfed,3334549,Cam12,Syngenta Campagnola 2012,127410,https://doi.org/10.15454/ZJPT9Q,F912_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,142.8700736484,,544.425116636,,70.3053357544,,82.7820039521,,-13.056547619,,-81.8055555556,,58.216,,1099.597,,428.658,,36.1236045155,,33.4496615166,,36.6215716662,,19.8583732994,,19.2926518775,,20.313619508,,168.8059376154,,67.1041379689,
3032water_regimewatered,3334816,Cam12,Syngenta Campagnola 2012,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,207.9430269264,,2025.2290786435,,68.1469614404,,71.4336636469,,-18.6510416667,,-27.8684210526,,89.396,,1293.092,,273.814,,36.6234866441,,33.6950628534,,36.6507720879,,20.4811845949,,19.2128060507,,20.4403489049,,247.2964125335,,105.0671012626,
3166water_regimerainfed,3334695,Cam12,Syngenta Campagnola 2012,127560,https://doi.org/10.15454/DEW3P6,I242_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,129.2828026944,,218.2294087924,,71.8912041125,,84.1830979212,,-12.9575757576,,-80.3277777778,,67.73,,1054.054,,427.862,,36.4726920779,,33.657299571,,36.5693839737,,20.0961815536,,19.255209279,,20.3331733927,,162.7173828328,,70.2695487494,
3251water_regimerainfed,3334779,Cam12,Syngenta Campagnola 2012,127645,https://doi.org/10.15454/HSQIO7,Va26_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,119.6172449122,,247.1484063655,,70.9100622803,,83.4184003873,,-13.056547619,,-82.8641975309,,89.396,,1113.935,,403.58,,36.6234866441,,33.3690868908,,36.5356169682,,20.4811845949,,19.2251948183,,20.0477253792,,151.6313607618,,63.9128471168,
