,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,1,2885529,BTH_Clermont-Ferrand_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
1,2,2885530,BTH_Clermont-Ferrand_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
2,AO14011itkt,2885594,BTH_Clermont-Ferrand_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,BTH_Clermont-Ferrand_2014_SetB2,VIRTUAL_TRIAL,,,,,,,,treated
3,CF13042itkt,2885606,BTH_Clermont-Ferrand_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,BTH_Clermont-Ferrand_2014_SetB2,VIRTUAL_TRIAL,,,,,,,,treated
4,1,2885553,BTH_Clermont-Ferrand_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
5,2,2885554,BTH_Clermont-Ferrand_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
6,1,2885517,BTH_Clermont-Ferrand_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
7,2,2885518,BTH_Clermont-Ferrand_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
8,CF13057itkt,2885588,BTH_Clermont-Ferrand_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,BTH_Clermont-Ferrand_2014_SetB2,VIRTUAL_TRIAL,,,,,,,,treated
9,2,2885512,BTH_Clermont-Ferrand_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
10,1,2885511,BTH_Clermont-Ferrand_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,BTH_Clermont-Ferrand_2014_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
11,DI14003itkt,2885585,BTH_Clermont-Ferrand_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,BTH_Clermont-Ferrand_2014_SetB2,VIRTUAL_TRIAL,,,,,,,,treated
