,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,AO12001itkt,2871129,BTH_Orgeval_2012_TECH,61241,https://doi.org/10.15454/TKI8XQ,AO12001,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
1,AO12002itkt,2871130,BTH_Orgeval_2012_TECH,61415,https://doi.org/10.15454/J8DODQ,AO12002,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
2,EM10126itkt,2871136,BTH_Orgeval_2012_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
3,CF10185itkt,2871165,BTH_Orgeval_2012_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
4,DI12011itkt,2871115,BTH_Orgeval_2012_TECH,61907,https://doi.org/10.15454/M9DOGT,DI12011,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
5,CF10064itkt,2871118,BTH_Orgeval_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
6,AO12006itkt,2871132,BTH_Orgeval_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
7,EM11537itkt,2871111,BTH_Orgeval_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
8,AO12016itkt,2871154,BTH_Orgeval_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
9,CF09117itkt,2871156,BTH_Orgeval_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
10,EM08231itkt,2871149,BTH_Orgeval_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
11,RE10039itkt,2871125,BTH_Orgeval_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
12,RE11035itkt,2871128,BTH_Orgeval_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
13,RE11059itkt,2871126,BTH_Orgeval_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
14,RE11091itkt,2871124,BTH_Orgeval_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
15,RE11094itkt,2871123,BTH_Orgeval_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
16,RE11095itkt,2871122,BTH_Orgeval_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
17,RE11096itkt,2871121,BTH_Orgeval_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
18,RE11098itkt,2871120,BTH_Orgeval_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
19,Premioitkt,2871110,BTH_Orgeval_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
20,Apacheitkt,2871135,BTH_Orgeval_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
21,Lyrikitkt,2871163,BTH_Orgeval_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
22,Grapeliitkt,2871127,BTH_Orgeval_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
23,CF08027itkt,2871162,BTH_Orgeval_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
24,Granamaxitkt,2871137,BTH_Orgeval_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
25,AO11011itkt,2871113,BTH_Orgeval_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
26,Gotikitkt,2871146,BTH_Orgeval_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
27,AO12011itkt,2871153,BTH_Orgeval_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,BTH_Orgeval_2012_TECH,VIRTUAL_TRIAL,,,,,,,,[]
