,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,EM02054,2790804,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26805,https://doi.org/10.15454/A80GXX,EM02054,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
1,EM02069,2790798,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
2,DI03018,2790782,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
3,CF02045,2790785,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
4,CF02097,2790812,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
5,DI03009,2790805,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
6,DI03017,2790789,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
7,DI03014,2790790,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
8,CF02139,2790806,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
9,CF02096,2790813,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
10,DI03010,2790786,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
11,CF02098,2790809,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
12,CF02033,2790802,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
13,Apache,2790801,BTH_Rennes_2003_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
14,EM02120,2790803,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
15,EM02018,2790799,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
16,EM02024,2790814,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26410,https://doi.org/10.15454/XJYZVF,EM02024,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
17,EM02096,2790793,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26413,https://doi.org/10.15454/T6MNTV,EM02096,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
18,Charger,2790807,BTH_Rennes_2003_SetB2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
19,CF02326,2790783,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
20,DI03011,2790787,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26428,https://doi.org/10.15454/QSCEEU,DI03011,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
21,EM02065,2790808,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26412,https://doi.org/10.15454/8UNSOD,EM02065,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
22,EM02026,2790823,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26411,https://doi.org/10.15454/CYWIQW,EM02026,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
23,DI03012,2790784,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26429,https://doi.org/10.15454/FOQIZY,DI03012,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
24,CF01046,2790820,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26793,https://doi.org/10.15454/0WBMV0,CF01046,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
25,CF01014,2790792,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26418,https://doi.org/10.15454/QCJETR,CF01014,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
26,CF02092,2790811,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26419,https://doi.org/10.15454/KRA5IT,CF02092,BTH_Rennes_2003_SetB2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
