,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,DI06024,2818251,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49274,https://doi.org/10.15454/WL2TYG,DI06024,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
1,CF05173,2818241,BTH_Rennes_2006_SetB3_PIETIN-VERSE,26980,https://doi.org/10.15454/RUE1SF,CF05173,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
2,Folklor,2818221,BTH_Rennes_2006_SetB3_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
3,RE05041,2818224,BTH_Rennes_2006_SetB3_PIETIN-VERSE,27042,https://doi.org/10.15454/1NUEUQ,RE05041,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
4,CF05092,2818225,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
5,DI06020,2818253,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48984,gnpis_pui:holding-921_taxon-4898_accession-48984,DI06020,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
6,DI06017,2818233,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49500,gnpis_pui:holding-921_taxon-4898_accession-49500,DI06017,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
7,RE05106,2818243,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48516,gnpis_pui:holding-921_taxon-4898_accession-48516,RE05106,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
8,RE05026,2818218,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48440,gnpis_pui:holding-921_taxon-4898_accession-48440,RE05026,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
9,RE05067,2818222,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48796,gnpis_pui:holding-921_taxon-4898_accession-48796,RE05067,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
10,DI06025,2818252,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48801,gnpis_pui:holding-921_taxon-4898_accession-48801,DI06025,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
11,RE05082,2818223,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49436,gnpis_pui:holding-921_taxon-4898_accession-49436,RE05082,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
12,DI06023,2818256,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48871,gnpis_pui:holding-921_taxon-4898_accession-48871,DI06023,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
13,Apache,2818234,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
14,RE05140,2818245,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
15,DI06022,2818255,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
16,AO05002,2818230,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49364,https://doi.org/10.15454/DWZO1B,AO05002,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
17,EM05312,2818220,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48450,https://doi.org/10.15454/XWZ3V6,EM05312,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
18,Charger,2818239,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
19,Caphorn,2818236,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
20,CF04214,2818244,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49393,https://doi.org/10.15454/RBB8O2,CF04214,BTH_Rennes_2006_SetB3_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
