,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,RE12080,2884029,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61587,https://doi.org/10.15454/TNFH4O,RE12080,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
1,AO13003,2884010,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61449,https://doi.org/10.15454/ACXILT,AO13003,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
2,DI13002,2884021,BTH_Rennes_2014_SetA2_PIETIN-VERSE,61791,https://doi.org/10.15454/GW5VMO,DI13002,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
3,AO13015,2884034,BTH_Rennes_2014_SetA2_PIETIN-VERSE,60834,https://doi.org/10.15454/KQGENR,AO13015,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
4,Folklor,2884008,BTH_Rennes_2014_SetA2_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
5,RE12001,2884014,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49097,https://doi.org/10.15454/ANZWH3,RE12001,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
6,RE12040,2884032,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48352,https://doi.org/10.15454/YWSWUD,RE12040,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
7,RE12042,2884035,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49556,https://doi.org/10.15454/GYCEHY,RE12042,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
8,RE12050,2884030,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49040,https://doi.org/10.15454/B2JKAS,RE12050,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
9,RE12051,2884031,BTH_Rennes_2014_SetA2_PIETIN-VERSE,48435,https://doi.org/10.15454/0FR6IX,RE12051,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
10,RE12073,2884028,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49588,https://doi.org/10.15454/8XOG9B,RE12073,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
11,RE12100,2884005,BTH_Rennes_2014_SetA2_PIETIN-VERSE,49484,https://doi.org/10.15454/GT4HPR,RE12100,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
12,Apache,2884026,BTH_Rennes_2014_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,BTH_Rennes_2014_SetA2_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
