,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,DI08019-2,2864242,BTH_Rennes_2012_SetA1_PIETIN-VERSE,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
1,RE09055,2864269,BTH_Rennes_2012_SetA1_PIETIN-VERSE,61677,https://doi.org/10.15454/RWYMIR,RE09055,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
2,Koreli,2864248,BTH_Rennes_2012_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
3,CF09117,2864267,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
4,CF09227,2864271,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48700,https://doi.org/10.15454/C60S9I,CF09227,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
5,EM08231,2864261,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49158,https://doi.org/10.15454/UFYMWM,EM08231,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
6,Folklor,2864241,BTH_Rennes_2012_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
7,RE09055-2,2864239,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
8,RE09063,2864254,BTH_Rennes_2012_SetA1_PIETIN-VERSE,48542,https://doi.org/10.15454/XWSV3O,RE09063,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
9,RE09079,2864233,BTH_Rennes_2012_SetA1_PIETIN-VERSE,49050,https://doi.org/10.15454/6F6EN3,RE09079,BTH_Rennes_2012_SetA1_PIETIN-VERSE,VIRTUAL_TRIAL,,,,,,,,[]
