,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,1,2800123,BTH_Clermont-Ferrand_2004_SetB3,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,1.0,,,,,,REPLICATION:1,treated
1,LM03017itkt,2800206,BTH_Clermont-Ferrand_2004_SetB3,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,BTH_Clermont-Ferrand_2004_SetB3,VIRTUAL_TRIAL,,,,,,,,treated
2,2,2800124,BTH_Clermont-Ferrand_2004_SetB3,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,2.0,,,,,,REPLICATION:2,treated
3,2,2800138,BTH_Clermont-Ferrand_2004_SetB3,49485,gnpis_pui:holding-921_taxon-4898_accession-49485,EM03087,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,2.0,,,,,,REPLICATION:2,treated
4,1,2800137,BTH_Clermont-Ferrand_2004_SetB3,49485,gnpis_pui:holding-921_taxon-4898_accession-49485,EM03087,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,1.0,,,,,,REPLICATION:1,treated
5,EM03087itkt,2800213,BTH_Clermont-Ferrand_2004_SetB3,49485,gnpis_pui:holding-921_taxon-4898_accession-49485,EM03087,BTH_Clermont-Ferrand_2004_SetB3,VIRTUAL_TRIAL,,,,,,,,treated
6,2,2800120,BTH_Clermont-Ferrand_2004_SetB3,48957,gnpis_pui:holding-921_taxon-4898_accession-48957,EM03104,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,2.0,,,,,,REPLICATION:2,treated
7,EM03104itkt,2800204,BTH_Clermont-Ferrand_2004_SetB3,48957,gnpis_pui:holding-921_taxon-4898_accession-48957,EM03104,BTH_Clermont-Ferrand_2004_SetB3,VIRTUAL_TRIAL,,,,,,,,treated
8,1,2800119,BTH_Clermont-Ferrand_2004_SetB3,48957,gnpis_pui:holding-921_taxon-4898_accession-48957,EM03104,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,1.0,,,,,,REPLICATION:1,treated
9,RE03146itkt,2800207,BTH_Clermont-Ferrand_2004_SetB3,49258,gnpis_pui:holding-921_taxon-4898_accession-49258,RE03146,BTH_Clermont-Ferrand_2004_SetB3,VIRTUAL_TRIAL,,,,,,,,treated
10,1,2800125,BTH_Clermont-Ferrand_2004_SetB3,49258,gnpis_pui:holding-921_taxon-4898_accession-49258,RE03146,BTH_Clermont-Ferrand_2004_SetB3,REPLICATION,1.0,,,,,,REPLICATION:1,treated
