,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,1,2819972,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,traité
1,1,2819970,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
2,DI05020-2itkt,2820067,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,traité
3,DI05020-2itkfi,2820066,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,low inputs
4,2,2819973,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,traité
5,2,2819971,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
6,1,2820012,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,traité
7,1,2820010,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
8,DI05022itkfi,2820086,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,low inputs
9,2,2820011,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
10,2,2820013,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,traité
11,DI05022itkt,2820087,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,traité
12,1,2819922,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
13,Koreliitkfi,2820042,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,low inputs
14,Koreliitkt,2820043,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,traité
15,2,2819925,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,traité
16,2,2819923,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
17,1,2819924,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,traité
18,1,2819890,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
19,Barokitkt,2820027,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,traité
20,2,2819893,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,traité
21,1,2819892,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,traité
22,2,2819891,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
23,Barokitkfi,2820026,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,low inputs
24,EM03332itkt,2820089,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,traité
25,EM03332itkfi,2820088,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,BTH_Lusignan_2007_SetA1,VIRTUAL_TRIAL,,,,,,,,low inputs
26,2,2820015,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,BTH_Lusignan_2007_SetA1,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
27,1,2820014,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,BTH_Lusignan_2007_SetA1,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
