,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,2,2878135,BTH_Rennes_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,BTH_Rennes_2013_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
1,AO13025itkfi,2878204,BTH_Rennes_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,BTH_Rennes_2013_SetB2,VIRTUAL_TRIAL,,,,,,,,low inputs
2,1,2878134,BTH_Rennes_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,BTH_Rennes_2013_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
3,1,2878138,BTH_Rennes_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,BTH_Rennes_2013_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
4,2,2878139,BTH_Rennes_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,BTH_Rennes_2013_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
5,AO13026itkfi,2878206,BTH_Rennes_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,BTH_Rennes_2013_SetB2,VIRTUAL_TRIAL,,,,,,,,low inputs
6,RE12053itkfi,2878221,BTH_Rennes_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,BTH_Rennes_2013_SetB2,VIRTUAL_TRIAL,,,,,,,,low inputs
7,1,2878168,BTH_Rennes_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,BTH_Rennes_2013_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
8,2,2878169,BTH_Rennes_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,BTH_Rennes_2013_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
9,RE12057itkfi,2878225,BTH_Rennes_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,BTH_Rennes_2013_SetB2,VIRTUAL_TRIAL,,,,,,,,low inputs
10,1,2878176,BTH_Rennes_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,BTH_Rennes_2013_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
11,2,2878177,BTH_Rennes_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,BTH_Rennes_2013_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
12,1,2878122,BTH_Rennes_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,BTH_Rennes_2013_SetB2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
13,2,2878123,BTH_Rennes_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,BTH_Rennes_2013_SetB2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
