observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI06007itknt,2821381,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,85,,,,131,,"11,93",,"75,8",,141,,1,,"77,3",,6,,"3,5",,"3,5",
Caphornitkt,2821343,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,80,,1,,128,,"12,5",,"71,5",,"113,4",,1,,"85,5",,,,3,,5,
Mendelitknt,2821333,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"82,5",,,,125,,"12,36",,"67,4",,"94,2",,8,,"51,6",,"4,5",,1,,2,
RE05011itkt,2821358,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"87,5",,1,,133,,"11,62",,"74,8",,"106,3",,1,,"80,2",,,,3,,6,
DI06007itkt,2821382,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,1,,131,,"12,43",,"73,2",,"112,1",,1,,"84,6",,,,2,,2,
Apacheitkt,2821331,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,1,,127,,"12,57",,73,,"96,9",,2,,73,,,,"3,5",,"1,5",
Koreliitknt,2821321,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,95,,,,"130,5",,"11,85",,"75,2",,106,,"5,5",,"58,1",,1,,"5,5",,5,
Koreliitkt,2821322,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,95,,1,,131,,"11,75",,"74,2",,"112,6",,1,,"84,9",,,,4,,"3,5",
RE05039itkfi,2821326,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,100,,,,131,,"11,75",,"67,4",,102,,1,,60,,1,,4,,7,
Apacheitknt,2821330,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,90,,,,"124,5",,"12,16",,"73,6",,"101,2",,"8,5",,"55,5",,1,,1,,2,
