observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE12030itkfi,2877012,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"83,8",,"86,2",,"1,5",,"75,5",,1,
AO13008itkfi,2877015,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,146,,"81,3",,"82,8",,1,,"72,5",,1,
AO13002itkfi,2876988,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,142,,"79,9",,"90,8",,1,,"79,5",,1,
CF12108itkfi,2876989,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,144,,"81,3",,"105,5",,"1,5",,"92,4",,1,
RE12018itkfi,2877006,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,144,,"81,9",,"82,9",,1,,"72,6",,1,
RE12005itkfi,2876995,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,149,,"82,2",,"97,9",,1,,"85,7",,1,
RE12040itkfi,2876985,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,146,,83,,"100,8",,1,,"88,3",,1,
RE12039itkfi,2877010,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,144,,"83,3",,"103,2",,"1,5",,"90,3",,1,
AO13014itkfi,2877009,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,153,,"80,9",,"103,2",,1,,"90,4",,"1,5",
AO13003itkfi,2876987,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,149,,"80,5",,"94,9",,2,,"83,1",,1,
