observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI10006itkt,2850820,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,151,,"10,62",,"80,3",,101,,"111,3",,1,
EM09310itkfi,2850787,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,144,,"10,3",,"78,2",,"100,1",,"101,2",,1,
DI10007itkfi,2850817,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,74,,149,,"9,94",,"82,6",,"102,8",,"103,9",,1,
RE09061itkfi,2850799,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49193,gnpis_pui:holding-921_taxon-4898_accession-49193,RE09061,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"11,05",,"78,7",,"96,5",,"97,6",,3,
DI10007itkt,2850818,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,69,,149,,"9,81",,83,,"103,8",,"114,4",,1,
DI10010itkt,2850778,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,150,,"10,92",,"79,8",,"98,2",,"108,2",,1,
DI10010itkfi,2850777,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,150,,"11,24",,"77,6",,"94,9",,"95,9",,1,
AO10022itkfi,2850813,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48862,gnpis_pui:holding-921_taxon-4898_accession-48862,AO10022,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,145,,"8,98",,80,,"102,9",,104,,1,
EM09318itkt,2850792,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,66,,150,,"9,98",,"78,7",,"99,5",,"109,7",,1,
CF09122itkfi,2850793,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,144,,"9,74",,"80,8",,"89,3",,"90,2",,2,
DI10009itkt,2850804,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48858,gnpis_pui:holding-921_taxon-4898_accession-48858,DI10009,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,150,,"10,52",,"78,1",,"95,4",,"105,2",,1,
RE09055itkfi,2850835,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,145,,"9,98",,"75,8",,105,,"106,1",,1,
RE09055itkt,2850836,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,144,,"9,91",,"76,4",,"99,7",,"109,8",,1,
CF09122itkt,2850794,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,treated,2010,77,,144,,"11,24",,"79,8",,98,,108,,1,
Barokitkfi,2850757,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"9,64",,"80,6",,"96,5",,"97,5",,1,
EM09318itkfi,2850791,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,145,,"9,98",,"79,2",,"96,2",,"97,2",,2,
EM09221itkfi,2850827,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,144,,"8,61",,"78,7",,"101,3",,"102,4",,1,
