observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM02054,2790804,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,2,,1,,3,
EM02069,2790798,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,1,,2,,3,,1,
DI03018,2790782,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,2,,1,,1,
CF02045,2790785,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,2,,1,,1,
CF02097,2790812,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,2,,3,,1,
DI03009,2790805,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,3,,1,,1,
DI03017,2790789,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,2003,6,,3,,2,,1,,1,
DI03014,2790790,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,2003,"4,5",,1,,2,,1,,1,
CF02139,2790806,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,5,,1,,1,
CF02096,2790813,BTH_Rennes_2003_SetB2_PIETIN-VERSE,BTH_Rennes_2003_SetB2_PIETIN-VERSE,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,1,,3,,3,,1,
