observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Koreli,2779086,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2002,7,,1,,"5,73",,5143,,1,,7,
RE01004,2779087,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,2002,8,,1,,"7,99",,5556,,1,,4,
RE00108,2779092,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,1,,"6,26",,4719,,1,,1,
RE00149,2779088,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,4,,"5,23",,1248,,1,,1,
RE00144,2779108,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,2002,6,,1,,"4,8",,1239,,1,,4,
RE00143,2779097,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,2002,6,,4,,"3,13",,1104,,1,,3,
DI01022,2779091,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2002,5,,1,,"5,42",,1474,,1,,6,
RE00165,2779082,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,2002,7,,3,,"3,59",,1015,,1,,4,
EM00264,2779103,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2002,7,,6,,"3,71",,1143,,1,,6,
DI01007,2779077,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,2002,7,,1,,"7,18",,5194,,1,,1,
Apache,2779090,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,
RE00163,2779085,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,2002,8,,1,,"6,46",,5613,,1,,6,
Skerzzo,2779105,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2002,4,,1,,"5,68",,"1,21",,1,,1,
