observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI02008,2803841,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2005,4,,6,,NA,,NA,,1,,1,
Koreli,2803830,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,4,,NA,,NA,,2,,4,
CF03201,2803831,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2005,"2,75",,3,,"5,84",,205,,2,,1,
EM02224,2803852,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,2005,4,,4,,NA,,NA,,2,,1,
EM02054,2803829,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,7,,NA,,NA,,3,,1,
DI02006,2803827,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2005,4,,4,,"4,91",,411,,2,,1,
AO04001,2803825,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,
DI01022,2803828,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,6,,NA,,NA,,3,,1,
LM03004,2803856,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,7,,"6,28",,4568,,3,,1,
Apache,2803833,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,8,,"7,57",,4349,,6,,1,
Charger,2803840,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,"6,84",,4402,,6,,1,
Crousty,2803844,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,7,,"7,57",,4246,,3,,3,
Tamaro,2803855,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,6,,"6,25",,4714,,4,,4,
Tremie,2803846,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,
Caphorn,2803836,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,7,,4629,,3,,1,
RE03014,2803851,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,2005,"3,75",,4,,"5,21",,115,,3,,1,
CF03167,2803843,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,NA,,NA,,3,,6,
CF03104,2803838,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,4,,NA,,NA,,4,,1,
CF03163,2803845,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,3,,NA,,NA,,6,,1,
