observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM08277,2848450,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,2,,2,,1,
CF08021,2848438,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,2,,1,,1,
Hadm01601-07,2848427,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,NA,,2,,1,
HadmF11671,2848439,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,2010,7,,5,,NA,,2,,1,
DI09016,2848453,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,5,,5,,2,,1,
CF08106,2848452,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,2010,6,,3,,5,,1,,5,
CF08137,2848425,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,2,,1,,1,
EM08223,2848426,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,5,,1,,1,
CF08049,2848449,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,2,,3,,1,
CF08084,2848440,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,5,,5,,1,,5,
AO10006,2848423,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,5,,NA,,8,
Bermude,2848422,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,2,,NA,,6,
CF08029,2848447,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,2010,9,,5,,5,,NA,,8,
DI09005,2848431,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,2010,5,,3,,3,,1,,1,
DI09018,2848446,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,5,,1,,1,
CF08109,2848448,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,2,,1,,1,
EM08221,2848424,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,2010,7,,5,,5,,1,,1,
