observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO13026itkt,2968326,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,10.5,,81.8,,94.9,,88.7,
DI11010itkt,2968358,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,10.53,,82.1,,103.3,,96.6,
Galibieritkt,2968335,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2015,130,,13.5,,81.2,,89.1,,83.3,
DI13005itkt,2968330,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,10.87,,78,,96.9,,90.6,
AO13015itkt,2968352,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,10.8,,81,,106.1,,99.2,
AO13029itkt,2968328,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,10.77,,80.5,,96.6,,90.3,
AREZZOitkt,2968361,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,11.2,,83.1,,95.3,,89.1,
AO13031itkt,2968354,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,138,,10.77,,81.1,,99.1,,92.7,
RUBISKOitkt,2968359,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,10.73,,79.4,,103.5,,96.7,
CELLULEitkt,2968346,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,11.43,,82,,98.4,,92,
AO14039itkt,2968345,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,10.3,,79.3,,103.8,,97,
AO11011itkt,2968325,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,10.83,,78.7,,93.3,,87.2,
AO13045itkt,2968339,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.3,,79.9,,98.4,,92,
DI13002-2itkt,2968327,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.13,,81.3,,94.2,,88.1,
DI14001itkt,2968347,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,10.93,,78.7,,103.6,,96.9,
AO13042itkt,2968340,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,10.43,,79.9,,100.8,,94.3,
EM12234itkt,2968341,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.6,,79,,105.9,,99,
RE10042itkt,2968349,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,10.97,,80,,101.2,,94.6,
CF09117itkt,2968357,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,12.47,,78.7,,91.2,,85.3,
ARKEOSitkt,2968356,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,traite,2015,139,,10.77,,78.3,,111.9,,104.6,
APACHEitkt,2968343,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2015,139,,10.73,,79.8,,103.6,,96.9,
CF12202itkt,2968336,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,10.57,,80.3,,103.6,,96.9,
DI14004itkt,2968324,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,11.53,,77.9,,96.9,,90.6,
RE12080itkt,2968334,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.47,,78.8,,92.7,,86.7,
RE12002itkt,2968332,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.2,,79.5,,96.7,,90.4,
DI13003itkt,2968337,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,11.4,,80.3,,93.3,,87.2,
