,variable_id,variable_name,variable_accession_number,ontology_name
0,rdt,,CO_321:1000074,Wheat Crop Ontology
1,NtotS,,CO_321:1000249,Wheat Crop Ontology
2,NtotG,,CO_321:1000239,Wheat Crop Ontology
3,pva,,CO_321:1000252,Wheat Crop Ontology
4,W,,CO_321:1000226,Wheat Crop Ontology
5,NtotD,,CO_321:1000256,Wheat Crop Ontology
6,NpainD,,CO_321:1000254,Wheat Crop Ontology
7,G,,CO_321:1000230,Wheat Crop Ontology
8,zel,,CO_321:1000222,Wheat Crop Ontology
9,NpateD,,CO_321:1000253,Wheat Crop Ontology
10,NpainG,,CO_321:1000237,Wheat Crop Ontology
11,r,,CO_321:1000217,Wheat Crop Ontology
12,pvp,,CO_321:1000251,Wheat Crop Ontology
13,P/L,,CO_321:1000229,Wheat Crop Ontology
14,NpateL,,CO_321:1000241,Wheat Crop Ontology
15,oid,,CO_321:1000145,Wheat Crop Ontology
16,volS,,CO_321:1000250,Wheat Crop Ontology
17,pel,,CO_321:1000223,Wheat Crop Ontology
18,NpainL,,CO_321:1000242,Wheat Crop Ontology
19,pmg,,CO_321:1000177,Wheat Crop Ontology
20,NmieD,,CO_321:1000255,Wheat Crop Ontology
21,P,,CO_321:1000227,Wheat Crop Ontology
22,sept,,CO_321:1000109,Wheat Crop Ontology
23,volG,,CO_321:1000240,Wheat Crop Ontology
24,NtotC,,CO_321:1000234,Wheat Crop Ontology
25,NpateG,,CO_321:1000236,Wheat Crop Ontology
26,NpateS,,CO_321:1000246,Wheat Crop Ontology
27,NpateC,,CO_321:1000232,Wheat Crop Ontology
28,ht,,CO_321:1000218,Wheat Crop Ontology
29,NpainS,,CO_321:1000247,Wheat Crop Ontology
30,sds,,CO_321:1000224,Wheat Crop Ontology
31,rj,,CO_321:1000162,Wheat Crop Ontology
32,ps,,CO_321:1000220,Wheat Crop Ontology
33,NtotL,,CO_321:1000244,Wheat Crop Ontology
34,NpainC,,CO_321:1000233,Wheat Crop Ontology
35,fusa,,CO_321:1000101,Wheat Crop Ontology
36,rb,,CO_321:1000221,Wheat Crop Ontology
37,prec,,CO_321:1000219,Wheat Crop Ontology
38,L,,CO_321:1000228,Wheat Crop Ontology
39,hag,,CO_321:1000231,Wheat Crop Ontology
40,volL,,CO_321:1000245,Wheat Crop Ontology
41,volD,,CO_321:1000257,Wheat Crop Ontology
42,vp,,CO_321:1000225,Wheat Crop Ontology
43,NmieG,,CO_321:1000238,Wheat Crop Ontology
44,volC,,CO_321:1000235,Wheat Crop Ontology
45,vr,,CO_321:1000099,Wheat Crop Ontology
46,dur,,CO_321:1000216,Wheat Crop Ontology
47,NmieS,,CO_321:1000248,Wheat Crop Ontology
48,NmieL,,CO_321:1000243,Wheat Crop Ontology
49,fr,,CO_321:1000271,Wheat Crop Ontology
50,prot,,CO_321:1000070,Wheat Crop Ontology
