observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkt,2835263,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"36,8",,NA,,"87,38",,NA,,"224,18",,NA,,NA,,NA,,59,,405,,"12,6",,"77,4",,NA,,1510,,NA,
HadmF276itkt,2835223,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,"18,4",,69,,97,,NA,,40,,NA,,91,,NA,,228,,NA,,85,,"1,25",,202,,78,,422,,"13,2",,NA,,1620,,NA,,43,
RE07004itkt,2835251,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"42,5",,NA,,94,,NA,,"236,5",,NA,,NA,,NA,,64,,432,,"14,1",,"79,3",,NA,,1750,,NA,
Barokitkt,2835221,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,2",,83,,91,,NA,,12,,NA,,64,,NA,,167,,NA,,62,,"0,76",,135,,68,,366,,"13,5",,"76,8",,1328,,NA,,37,
RE07083itkt,2835271,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,32,,NA,,94,,NA,,223,,NA,,NA,,NA,,28,,381,,"12,9",,"76,4",,NA,,1500,,NA,
RE07025itkt,2835252,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"16,15",,NA,,"83,5",,NA,,"199,65",,NA,,NA,,NA,,70,,361,,"14,3",,79,,NA,,1480,,NA,
CF07097itkt,2835238,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"48,75",,NA,,94,,NA,,"242,75",,NA,,NA,,NA,,26,,336,,"12,9",,"76,2",,NA,,1450,,NA,
CF05173itkt,2835256,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,"22,1",,99,,97,,NA,,43,,NA,,84,,NA,,224,,NA,,68,,"0,69",,224,,25,,367,,"13,6",,NA,,1450,,NA,,36,
CF05079itkt,2835249,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,9",,65,,94,,NA,,85,,NA,,80,,NA,,259,,NA,,112,,"1,72",,283,,80,,283,,13,,NA,,1845,,NA,,58,
CF07008itkt,2835275,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"36,5",,NA,,"88,5",,NA,,225,,NA,,NA,,NA,,41,,384,,"12,9",,"80,2",,NA,,1500,,NA,
AO08112itkt,2835236,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"52,5",,NA,,"95,5",,NA,,248,,NA,,NA,,NA,,67,,361,,"11,6",,"77,2",,NA,,1500,,NA,
CF06136itkt,2835274,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,"16,7",,57,,88,,NA,,35,,NA,,65,,NA,,188,,NA,,81,,"1,45",,151,,70,,312,,"13,9",,NA,,1493,,NA,,37,
CF07002itkt,2835270,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,38,,NA,,"95,5",,NA,,"233,5",,NA,,NA,,NA,,77,,379,,"13,1",,"80,5",,NA,,1600,,NA,
CF05162itkt,2835239,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,"18,8",,72,,91,,NA,,34,,NA,,84,,NA,,209,,NA,,95,,"1,34",,261,,61,,419,,"13,7",,NA,,1505,,NA,,49,
AO07210itkt,2835231,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,4",,84,,91,,NA,,50,,NA,,87,,NA,,228,,NA,,81,,"0,96",,217,,21,,398,,"13,5",,NA,,1670,,NA,,37,
CF07021itkt,2835266,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"54,75",,NA,,"92,5",,NA,,"247,25",,NA,,NA,,NA,,29,,364,,"12,6",,"80,5",,NA,,1650,,NA,
AO07302itkt,2835261,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,1",,108,,84,,NA,,27,,NA,,91,,NA,,202,,NA,,69,,"0,64",,256,,29,,338,,"12,8",,NA,,1495,,NA,,32,
AO08107itkt,2835259,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,38,,NA,,"87,38",,NA,,"225,38",,NA,,NA,,NA,,65,,338,,"12,2",,"74,9",,NA,,1550,,NA,
CF07018itkt,2835245,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"36,5",,NA,,97,,NA,,"233,5",,NA,,NA,,NA,,64,,407,,"13,1",,"78,1",,NA,,1500,,NA,
RE07114itkt,2835228,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,10,,NA,,"73,88",,NA,,"180,88",,NA,,NA,,NA,,62,,343,,"13,4",,"77,2",,NA,,1250,,NA,
RE06134itkt,2835233,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,9",,116,,100,,NA,,64,,NA,,88,,NA,,252,,NA,,58,,"0,5",,201,,23,,354,,"14,4",,NA,,1690,,NA,,39,
RE07019itkt,2835230,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"7,75",,NA,,"70,88",,NA,,"178,63",,NA,,NA,,NA,,69,,361,,"12,4",,"81,7",,NA,,1200,,NA,
RE07093itkt,2835244,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,29,,NA,,94,,NA,,223,,NA,,NA,,NA,,23,,310,,"12,6",,"77,8",,NA,,1400,,NA,
Hendrixitkt,2835222,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,"21,2",,91,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,115,,"1,26",,364,,NA,,420,,"14,7",,NA,,NA,,NA,,62,
Folkloritkt,2835225,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"23,9",,116,,100,,NA,,60,,NA,,99,,NA,,259,,NA,,83,,"0,72",,296,,80,,371,,"13,6",,"77,6",,1553,,NA,,51,
RE07012itkt,2835227,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,60,,NA,,90,,NA,,250,,NA,,NA,,NA,,66,,341,,"14,9",,"76,9",,NA,,1750,,NA,
RE06060itkt,2835264,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2008,"27,2",,150,,94,,NA,,52,,NA,,72,,NA,,218,,NA,,36,,"0,24",,146,,30,,350,,"13,5",,NA,,1613,,NA,,27,
RE07040itkt,2835265,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,91,,NA,,26,,NA,,79,,NA,,196,,NA,,NA,,NA,,31,,342,,"12,5",,"77,5",,NA,,1300,,NA,
RE06127itkt,2835254,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,5",,85,,94,,NA,,52,,NA,,98,,NA,,244,,NA,,72,,"0,85",,201,,22,,438,,"14,4",,NA,,1695,,NA,,22,
Apacheitkt,2835243,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,"25,2",,129,,94,,100,,36,,32,,76,,"95,5",,206,,"227,5",,58,,"0,45",,188,,"73,5",,"358,5",,"13,4",,"80,7",,1528,,1500,,40,
CF07022itkt,2835269,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,38,,NA,,"95,5",,NA,,"233,5",,NA,,NA,,NA,,56,,361,,"12,8",,"77,9",,NA,,1550,,NA,
Toisondoritkt,2835224,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,2",,60,,97,,100,,72,,"39,5",,94,,94,,263,,"233,5",,90,,"1,5",,213,,"64,5",,"352,5",,"12,9",,"76,95",,1585,,1500,,37,
Flamenkoitkt,2835250,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2008,"18,9",,72,,100,,NA,,33,,NA,,94,,NA,,227,,NA,,119,,"1,65",,291,,59,,392,,"13,2",,"74,4",,1433,,NA,,55,
Lyrikitkt,2835273,BTH_Dijon_2008_TECH,BTH_Dijon_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,3",,84,,94,,NA,,80,,NA,,85,,NA,,259,,NA,,90,,"1,08",,265,,60,,410,,"12,9",,NA,,1655,,NA,,52,
