observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI02008,2787973,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2003,6,,3,,"5,63",,983,,1,,1,
RE01092,2787958,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,2003,4,,1,,"3,47",,903,,1,,1,
RE01015,2787951,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,"3,7",,887,,1,,1,
EM01352,2787966,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"5,94",,3967,,3,,1,
EM01216,2787968,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,2003,"4,5",,1,,"6,3",,2186,,4,,1,
DI02006,2787970,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,"4,62",,1593,,1,,1,
EM01150,2787982,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,1,,"6,75",,2862,,3,,1,
EM01288,2787984,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,"4,04",,848,,1,,1,
CF01184,2787978,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"4,42",,622,,1,,4,
RE01086,2787981,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,"6,55",,3302,,6,,1,
CF01043,2787979,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,"7,57",,3561,,1,,1,
EM01063,2787961,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"4,62",,2699,,3,,3,
DI02028,2787975,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,2003,"3,5",,1,,"5,43",,"2,02",,3,,1,
Apache,2787965,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
