observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Gotikitkt,2879906,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2013,17,,59,,100,,NA,,70,,NA,,94,,NA,,264,,NA,,109,,"1,88",,221,,"70,5",,402,,NA,,"11,5",,NA,,1595,,NA,,"35,5",
CF11029itkt,2879882,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,2013,"19,1",,74,,91,,NA,,54,,NA,,75,,NA,,220,,NA,,71,,"0,96",,171,,78,,425,,NA,,"10,7",,NA,,1515,,NA,,"30,5",
CF11051itkt,2879855,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,2013,"17,8",,64,,97,,NA,,72,,NA,,81,,NA,,250,,NA,,106,,"1,66",,248,,"83,5",,390,,NA,,"11,1",,NA,,1478,,NA,,"33,5",
CF11177itkt,2879920,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,2013,20,,81,,94,,NA,,28,,NA,,79,,NA,,201,,NA,,114,,"1,41",,335,,"82,5",,407,,NA,,"12,6",,NA,,1375,,NA,,48,
CF11291itkt,2879913,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,2013,"19,8",,80,,94,,NA,,29,,NA,,77,,NA,,200,,NA,,93,,"1,18",,264,,89,,413,,NA,,"12,8",,NA,,1395,,NA,,"40,5",
DI11013itkt,2879918,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2013,"12,8",,33,,94,,NA,,67,,NA,,91,,NA,,252,,NA,,114,,"3,45",,160,,"74,5",,446,,NA,,11,,NA,,1435,,NA,,32,
DI12005itkt,2879876,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,2013,"20,2",,83,,88,,NA,,43,,NA,,75,,NA,,206,,NA,,53,,"0,65",,140,,48,,402,,NA,,"11,4",,NA,,1468,,NA,,25,
EM11441itkt,2879881,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,2013,"20,8",,88,,88,,NA,,38,,NA,,52,,NA,,178,,NA,,46,,"0,53",,98,,86,,426,,NA,,"12,1",,NA,,1553,,NA,,25,
EM11604itkt,2879887,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,2013,"22,1",,99,,100,,NA,,75,,NA,,76,,NA,,251,,NA,,59,,"0,6",,177,,"88,5",,423,,NA,,"11,7",,NA,,1563,,NA,,"31,5",
RE10042itkt,2879899,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2013,"18,6",,70,,91,,NA,,76,,NA,,85,,NA,,252,,NA,,87,,"1,24",,206,,"86,5",,375,,NA,,"11,8",,NA,,1468,,NA,,30,
RE11058itkt,2879915,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2013,"17,4",,61,,97,,NA,,75,,NA,,87,,NA,,259,,NA,,83,,"1,36",,183,,93,,369,,NA,,"10,8",,NA,,1460,,NA,,"27,5",
RE11073itkt,2879861,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,2013,"19,8",,80,,94,,NA,,46,,NA,,79,,NA,,219,,NA,,75,,"0,95",,199,,83,,402,,NA,,11,,NA,,1375,,NA,,"28,5",
RE11075itkt,2879910,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,2013,"19,5",,77,,85,,NA,,59,,NA,,86,,NA,,230,,NA,,85,,"1,1",,227,,"87,5",,377,,NA,,11,,NA,,1348,,NA,,30,
RE11087itkt,2879903,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,2013,"18,8",,72,,94,,NA,,50,,NA,,90,,NA,,234,,NA,,89,,"1,25",,237,,"85,5",,406,,NA,,"11,5",,NA,,1365,,NA,,32,
RE11113itkt,2879904,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,2013,"21,4",,93,,97,,NA,,64,,NA,,79,,NA,,240,,NA,,62,,"0,67",,193,,"78,5",,378,,NA,,"11,5",,NA,,1570,,NA,,"31,5",
RE11116itkt,2879907,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,2013,"23,2",,109,,100,,NA,,64,,NA,,67,,NA,,231,,NA,,46,,"0,42",,153,,"78,5",,347,,NA,,"10,7",,NA,,1493,,NA,,26,
AO13027itkt,2879864,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,2013,"18,9",,72,,91,,NA,,53,,NA,,86,,NA,,230,,NA,,92,,"1,28",,202,,"94,5",,397,,NA,,"11,1",,NA,,1488,,NA,,31,
Gallixeitkt,2879865,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2013,"26,2",,139,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,39,,"0,28",,109,,30,,345,,NA,,"10,65",,NA,,NA,,NA,,14,
Croustyitkt,2879901,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2013,"25,5",,132,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,39,,"0,3",,129,,36,,338,,NA,,"11,75",,NA,,NA,,NA,,20,
