observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13022itkt,2879867,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,2013,17,,58,,NA,,97,,NA,,"58,28",,NA,,"88,5",,NA,,"243,78",,123,,"2,11",,267,,77,,420,,"50,7",,"10,4",,"79,3",,NA,,1582,,NA,
EM11366itkt,2879909,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,2013,"19,9",,80,,100,,NA,,76,,NA,,89,,NA,,265,,NA,,100,,"1,25",,261,,"83,5",,423,,NA,,"11,9",,NA,,1693,,NA,,31,
EM11400itkt,2879897,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,2013,"20,4",,84,,94,,NA,,61,,NA,,86,,NA,,241,,NA,,83,,"0,99",,233,,"82,5",,436,,NA,,"12,1",,NA,,1575,,NA,,34,
DI11014itkt,2879919,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2013,"20,6",,86,,85,,NA,,42,,NA,,64,,NA,,191,,NA,,61,,"0,71",,137,,"81,5",,436,,NA,,"11,7",,NA,,1325,,NA,,29,
DI12004itkt,2879877,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,2013,"19,3",,76,,94,,NA,,63,,NA,,83,,NA,,240,,NA,,84,,"1,12",,215,,"83,5",,412,,NA,,"11,1",,NA,,1460,,NA,,"30,5",
Bermudeitkt,2879862,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,"13,7",,38,,94,,NA,,71,,NA,,80,,NA,,245,,NA,,107,,"2,82",,172,,"77,5",,399,,NA,,"10,9",,NA,,1453,,NA,,"35,5",
AO12014itkt,2879916,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,2013,"14,1",,40,,94,,NA,,45,,NA,,74,,NA,,213,,NA,,94,,"2,35",,152,,80,,376,,NA,,"10,1",,NA,,1390,,NA,,26,
AO13030itkt,2879905,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,2013,"19,9",,80,,94,,NA,,47,,NA,,76,,NA,,217,,NA,,70,,"0,88",,188,,77,,381,,NA,,"10,8",,NA,,1445,,NA,,"29,5",
AO13047itkt,2879875,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,2013,"16,4",,55,,97,,NA,,72,,NA,,88,,NA,,257,,NA,,105,,"1,94",,216,,91,,408,,NA,,"11,8",,NA,,1495,,NA,,33,
CF12053itkt,2879856,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,2013,"17,5",,62,,NA,,100,,NA,,"80,5",,NA,,"91,13",,NA,,"271,63",,110,,"1,77",,237,,70,,451,,"48,8",,"10,7",,"79,9",,NA,,1755,,NA,
CF12181itkt,2879872,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,2013,"19,8",,79,,NA,,100,,NA,,"84,7",,NA,,100,,NA,,"284,7",,82,,"1,04",,205,,79,,411,,"45,6",,"11,1",,"81,7",,NA,,1795,,NA,
CF12200itkt,2879874,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,2013,24,,117,,NA,,100,,NA,,"57,75",,NA,,"98,5",,NA,,"256,25",,58,,"0,49",,196,,64,,364,,42,,"11,3",,79,,NA,,1600,,NA,
CF12202itkt,2879908,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,2013,20,,81,,NA,,100,,NA,,"65,7",,NA,,"79,25",,NA,,"244,95",,86,,"1,06",,261,,72,,389,,"46,3",,"10,9",,"80,4",,NA,,1797,,NA,
CF12273itkt,2879912,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,2013,22,,98,,NA,,100,,NA,,"74,5",,NA,,"79,25",,NA,,"253,75",,75,,"0,76",,203,,71,,418,,"48,6",,"11,1",,"79,5",,NA,,1602,,NA,
CF12376itkt,2879884,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,2013,21,,89,,NA,,100,,NA,,"75,1",,NA,,"88,13",,NA,,"263,23",,87,,"0,98",,221,,59,,429,,"50,6",,"10,4",,"79,7",,NA,,1575,,NA,
DI13003itkt,2879914,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,2013,"22,6",,104,,NA,,100,,NA,,76,,NA,,"92,63",,NA,,"268,63",,72,,"0,69",,256,,67,,408,,"42,2",,"11,3",,"80,3",,NA,,1605,,NA,
DI13004itkt,2879868,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,2013,"15,3",,48,,NA,,100,,NA,,"82,9",,NA,,"80,75",,NA,,"263,65",,105,,"2,22",,210,,72,,413,,"40,6",,"10,7",,"79,8",,NA,,1635,,NA,
DI13005itkt,2879869,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,2013,"25,8",,135,,NA,,100,,NA,,"73,9",,NA,,"98,5",,NA,,"272,4",,52,,"0,38",,203,,71,,381,,"47,9",,10,,"77,2",,NA,,1635,,NA,
DI13006itkt,2879870,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,2013,"19,5",,77,,NA,,100,,NA,,"60,15",,NA,,"80,75",,NA,,"240,9",,73,,"0,94",,205,,65,,408,,"47,5",,"10,1",,80,,NA,,1687,,NA,
