observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkt,2853865,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,130,,"8,68",,"78,6",,101,,,,"95,8",
DI08019-2itkfi,2853864,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,130,,"8,32",,78,,"103,5",,5,,88,
DI09018itkt,2853929,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,132,,"8,35",,"78,5",,"100,3",,,,"95,1",
Strub061859-1itkt,2853911,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,134,,"8,72",,78,,"101,2",,,,96,
CF08027itkt,2853937,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,132,,"9,21",,78,,"101,9",,,,"96,7",
HadmF11383itkt,2853873,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,130,,"9,06",,"77,6",,"96,8",,,,"91,8",
DI09018itkfi,2853928,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,43",,"78,2",,"96,4",,3,,82,
Strub061859-1itkfi,2853910,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,94,,132,,"8,7",,"78,1",,"99,5",,3,,"84,6",
HadmF11383itkfi,2853872,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,87,,128,,"8,41",,"77,7",,"106,1",,2,,"90,3",
CF07143itkfi,2853918,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,93,,130,,"9,66",,"78,3",,"100,9",,"3,5",,"85,9",
