observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Barok,2812071,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,NA,,4,,1,
CF03201,2812083,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2006,2,,1,,NA,,2,,2,
AO06313,2812072,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,2006,5,,1,,5,,6,,3,
CF04052,2812073,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,2006,2,,6,,2,,7,,4,
Apache,2812085,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2006,2,,6,,NA,,6,,1,
AO05004,2812086,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,
Charger,2812091,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2006,7,,4,,NA,,7,,1,
Crousty,2812094,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2006,3,,4,,NA,,4,,6,
Tamaro,2812102,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2006,3,,3,,NA,,4,,4,
Tremie,2812096,BTH_Rennes_2006_SetA1_PIETIN-VERSE,BTH_Rennes_2006_SetA1_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2006,5,,4,,NA,,8,,5,
