observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12013itkt,2868658,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,150,,"12,13",,"91,2",,,,"80,6",,"1,5",,"1,5",,"7,5",
DI12013itkfi,2868657,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,82,,151,,"11,91",,"95,6",,"6,5",,"64,5",,1,,"2,5",,1,
EM11582itkfi,2868643,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,88,,150,,"10,51",,"104,5",,3,,"70,5",,3,,3,,2,
EM11582itkt,2868644,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,149,,"10,53",,"94,4",,,,"83,4",,"1,5",,"1,5",,5,
AO12025itkfi,2868597,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,151,,"11,14",,"63,8",,1,,43,,7,,1,,2,
AO12025itkt,2868598,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,151,,"11,37",,"95,4",,,,"84,3",,2,,"1,5",,"8,5",
DI12009itkfi,2868619,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,82,,151,,"12,12",,"88,3",,7,,"59,5",,1,,"3,5",,1,
DI12009itkt,2868620,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,150,,"12,02",,"91,1",,,,"80,5",,2,,2,,"6,5",
DI12008itkt,2868622,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,100,,152,,"12,43",,"77,7",,,,"68,7",,2,,2,,8,
DI12008itkfi,2868621,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,98,,151,,"11,28",,"103,8",,"3,5",,"69,9",,1,,3,,3,
