observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2820135,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,NA,,"38,12",,1,
1,2820164,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,85",,"69,8",,"82,13",,,
2,2820163,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,"57,9",,"49,88",,2,
1,2820162,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,"64,6",,"68,59",,1,
2,2820165,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,49",,"67,3",,"88,3",,,
2,2820133,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,22",,"68,3",,"92,44",,,
1,2820132,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,82",,"64,6",,"83,35",,,
2,2820131,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,NA,,"42,29",,"8,5",
1,2820130,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,"58,8",,"43,75",,1,
2,2820193,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,72",,69,,"91,43",,,
1,2820192,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,64",,"72,3",,"97,21",,,
2,2820191,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,"61,7",,"54,24",,"1,5",
1,2820190,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,"63,9",,"63,22",,1,
1,2820228,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,03",,"69,7",,"87,43",,,
1,2820226,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,"58,4",,"33,02",,1,
2,2820229,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,38",,"66,1",,"93,61",,,
2,2820227,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,58,,"30,22",,"1,5",
1,2820188,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,72",,"62,9",,"89,18",,,
2,2820189,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"10,74",,75,,"85,08",,,
1,2820186,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,"58,3",,"54,33",,1,
