observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO12002itkt,2871416,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,7",,"78,8",,"99,4",,"91,9",
Gotikitkt,2871430,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,156,,"10,45",,"79,1",,"104,1",,"96,3",
EM09222itkt,2871432,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,85",,"77,7",,"97,7",,"90,4",
AO12011itkt,2871434,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"11,1",,"79,5",,103,,"95,3",
AO11013itkt,2871404,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,148,,"10,15",,"77,7",,"105,5",,"97,6",
EM10126itkt,2871421,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"11,3",,"76,5",,"99,6",,"92,2",
Gallixeitkt,2871436,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,85",,"76,8",,"101,5",,"93,9",
RE10039itkt,2871414,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"11,5",,"76,2",,"95,6",,"88,4",
Croustyitkt,2871428,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"12,1",,"80,3",,"88,7",,82,
CF10185itkt,2871443,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,156,,"11,45",,"78,7",,"94,8",,"87,7",
