observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13025,2878090,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,5,,5,,1,
AO13026,2878092,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,NA,,7,
RE12053,2878107,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,2,,NA,,1,
RE12057,2878111,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,2013,9,,3,,NA,,1,
RE12062,2878084,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,2013,9,,2,,NA,,3,
RE12056,2878110,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,2013,9,,3,,NA,,1,
RE12064,2878085,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,2013,9,,2,,3,,2,
CF12176,2878105,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,5,,4,,3,
CF12265,2878088,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,2013,9,,5,,NA,,9,
CF12271,2878113,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,2013,5,,3,,6,,3,
EM12147,2878106,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,2013,8,,5,,2,,1,
CF12232,2878120,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,4,,1,
AO13018,2878116,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,5,,3,,1,
RE12042,2878087,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,2,,1,
RE12050,2878104,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,2013,6,,3,,2,,3,
