observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF13081,2887580,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61093,https://doi.org/10.15454/P97IAI,CF13081,VIRTUAL_TRIAL,,,,,,,,2014,3,,NA,,5,,2,,3,
CF13217,2887582,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61196,https://doi.org/10.15454/JHCWMY,CF13217,VIRTUAL_TRIAL,,,,,,,,2014,"5,5",,NA,,2,,2,,1,
CF13172,2887560,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61167,https://doi.org/10.15454/M3XNKU,CF13172,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,NA,,5,,3,,5,
AO14023,2887578,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61197,https://doi.org/10.15454/RZZTFZ,AO14023,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,NA,,2,,4,,4,
CF13187,2887587,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,5,,3,,1,
DI14004,2887561,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,2014,"6,5",,NA,,2,,3,,1,
EM13249,2887562,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,2014,6,,NA,,5,,2,,1,
EM13243,2887565,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,2014,4,,NA,,5,,4,,1,
AO14025,2887589,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61545,https://doi.org/10.15454/PSDVDT,AO14025,VIRTUAL_TRIAL,,,,,,,,2014,"2,5",,"3,4",,5,,6,,3,
AO14026,2887590,BTH_Rennes_2014_SetB3_PIETIN-VERSE,BTH_Rennes_2014_SetB3_PIETIN-VERSE,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,2014,"6,5",,NA,,2,,1,,1,
